name,mass_msun,mass_kg,xi,xi_err_low,xi_err_high
HSC-M31-01,8.200000e-08,1.630980e+23,2688518843017905041424525171884032.000000,1344259421508952520712262585942016.000000,1344259421508952520712262585942016.000000
HSC-M31-02,9.500000e-08,1.889550e+23,3114747440081719424029121300135936.000000,1557373720040859712014560650067968.000000,1557373720040859135553808346644480.000000
HSC-M31-03,1.100000e-07,2.187900e+23,3606549667463043179532191629574144.000000,1803274833731521589766095814787072.000000,1803274833731521589766095814787072.000000
HSC-M31-04,1.300000e-07,2.585700e+23,4262285970638142096663704372248576.000000,2131142985319071048331852186124288.000000,2131142985319071336562228337836032.000000
HSC-M31-05,1.500000e-07,2.983500e+23,4918022273813240437334464811499520.000000,2459011136906620218667232405749760.000000,2459011136906620506897608557461504.000000
HSC-M31-06,1.700000e-07,3.381300e+23,5573758576988338201544472947326976.000000,2786879288494169100772236473663488.000000,2786879288494169100772236473663488.000000
HSC-M31-07,2.000000e-07,3.978000e+23,6557363031750986865472118213050368.000000,3278681515875493432736059106525184.000000,3278681515875494009196811409948672.000000
HSC-M31-08,2.300000e-07,4.574700e+23,7540967486513635529399763478773760.000000,3770483743256817764699881739386880.000000,3770483743256816611778377132539904.000000
HSC-M31-09,2.700000e-07,5.370300e+23,8852440092863833363662788964122624.000000,4426220046431916681831394482061312.000000,4426220046431916105370642178637824.000000
HSC-M31-10,3.200000e-07,6.364800e+23,10491780850801580368261194669096960.000000,5245890425400790184130597334548480.000000,5245890425400791337052101941395456.000000
HSC-M31-11,4.000000e-07,7.956000e+23,13114726063501973730944236426100736.000000,6557363031750986865472118213050368.000000,6557363031750988018393622819897344.000000
HSC-M31-12,5.500000e-07,1.093950e+24,18032748337315215897660958147870720.000000,9016374168657607948830479073935360.000000,9016374168657605642987469860241408.000000
Phoebe (DECam LMC),9.608044e-08,1.911040e+23,3150171706434742821785371248951296.000000,2657957377304314381982196557676544.000000,22346530542521460044559716456595456.000000
