time,h_plus,h_cross
0.0,8.201418145119371e-32,0.0
0.001,8.027823540227417e-32,1.6104257830387975e-32
0.002,7.541681023441231e-32,3.1526776911287114e-32
0.003,7.390156186228304e-32,-3.461151617415876e-32
0.004,5.723104858776804e-32,5.798141027685855e-32
0.005,-3.545278595136723e-32,7.320006515140457e-32
0.006,5.198471433075237e-32,-6.237567841152367e-32
0.007,-1.853804862685069e-32,-7.891473882015166e-32
0.008,-1.0540983730890192e-33,8.092105170169705e-32
0.009000000000000001,2.051882674454393e-32,-7.81441663416817e-32
0.01,-5.000780881897976e-32,-6.32853049440783e-32
0.011,-8.050214348468657e-32,1.8883131351372627e-33
0.012,-1.448913727140042e-32,-7.907368618534789e-32
0.013000000000000001,-5.015073073130805e-33,8.009947508009118e-32
0.014,-7.17421871687245e-32,3.5674934254968433e-32
0.015,7.810118291311668e-32,-1.727670103519967e-32
0.016,-7.982894383972768e-32,-2.0800975499139062e-33
0.017,7.683889726537528e-32,2.124969910841196e-32
0.018000000000000002,-6.932323631916291e-32,-3.91012037647655e-32
0.019,-8.284799672174281e-34,-7.945343680230735e-32
0.02,-1.8341326492230165e-32,7.717590725642094e-32
0.021,3.636470768928399e-32,-7.035049956908206e-32
0.022,7.897450495177089e-32,-3.706999259373228e-33
0.023,-7.7405474542072e-32,-1.54371551844201e-32
0.024,-7.367887652046354e-32,2.793930204319485e-32
0.025,-6.095324282508987e-32,-4.973148719634666e-32
0.026000000000000002,-7.792280355782652e-32,-9.795981951856217e-33
0.027,-3.045511339705019e-32,-7.224877247609286e-32
0.028,4.7238665522273385e-32,-6.241354276211298e-32
0.029,6.912983810098432e-33,-7.783805853561062e-32
0.03,7.073545417533399e-32,-3.290481630883173e-32
0.031,6.377513350414345e-32,4.470693567054686e-32
0.032,7.764917427773155e-32,4.0493482360010924e-33
0.033,3.5285764582670653e-32,6.91417906704595e-32
0.034,6.648443384155107e-32,3.981758807610798e-32
0.035,-1.2087448377250923e-33,7.735744174061212e-32
0.036000000000000004,3.995415061063324e-32,6.610129957979671e-32
0.037,-6.619891321002988e-32,-3.954196799832595e-32
0.038,-7.696427774992194e-32,1.6052243539481065e-33
0.039,-3.983140996416846e-32,-6.572529856792286e-32
0.04,-6.852127649047344e-32,-3.45186280537703e-32
0.041,-4.389029071374429e-33,-7.647122183724327e-32
0.042,-4.4221630456077157e-32,-6.238617047338788e-32
0.043000000000000003,-7.046757677756906e-32,-2.9367464717466864e-32
0.044,7.587993294271564e-32,-7.139214857367109e-33
0.045,4.4073299930570656e-32,6.202375865964821e-32
0.046,7.015008413294048e-32,2.913935862033169e-32
0.047,7.479745128992083e-32,-1.2501041456809344e-32
0.048,5.667278712551475e-32,-5.019952278700761e-32
0.049,-2.6429136883149375e-32,7.081118153628202e-32
0.05,1.5144661205612755e-32,7.392125023976925e-32
0.051000000000000004,5.197246062126682e-32,5.45309810440848e-32
0.052000000000000005,7.286547211919466e-32,1.861459478796995e-32
0.053,-7.295406778674739e-32,1.774155045156015e-32
0.054,-5.23369387625897e-32,5.365766065388341e-32
0.055,2.0986411046832076e-32,-7.182738871557042e-32
0.056,-2.028867167055859e-32,-7.189811367815948e-32
0.057,-5.525372301207183e-32,-5.009413920880415e-32
0.058,-7.329188568456991e-32,-1.312195595797996e-32
0.059000000000000004,7.0755695402881e-32,-2.278308468597621e-32
0.06,4.7806092454950046e-32,-5.675938197459805e-32
0.061,-1.5538839915427106e-32,7.243802937496572e-32
0.062,2.522194966552089e-32,6.952921410663621e-32
0.063,5.817350634406465e-32,4.547633467366732e-32
0.064,7.331655255811375e-32,7.667662868173322e-33
0.065,-6.822116042160158e-32,2.760252995296217e-32
0.066,-4.310842310897106e-32,5.949509963405525e-32
0.067,-4.9638398093138995e-33,7.318059804317514e-32
0.068,3.4564017745149433e-32,6.455590370676323e-32
0.069,6.344449089194387e-32,3.6319258959467746e-32
0.07,-7.29472954885218e-32,-2.2802253636885747e-33
0.07100000000000001,-6.29369422846814e-32,3.6711349430652405e-32
0.07200000000000001,-3.381180676382288e-32,6.440401482373985e-32
0.073,-4.745765680756251e-33,7.246368346465249e-32
0.074,3.436879850694906e-32,6.383372390865601e-32
0.075,6.289674763313249e-32,3.581154927285198e-32
0.076,7.219389622103511e-32,-3.0127700073851776e-33
0.077,-6.22259265031708e-32,3.649102667252109e-32
0.078,-3.332684181863723e-32,6.38409422847006e-32
0.079,5.6155156586562684e-33,7.167671342913063e-32
0.08,4.2719802687470153e-32,5.767930411770956e-32
0.081,6.670343377512718e-32,2.6179977693209544e-32
0.082,-7.1068004215345e-32,8.1847897480247e-33
0.083,-5.580323523578384e-32,4.457152121485308e-32
0.084,-2.3611546587136957e-32,6.727661307906247e-32
0.085,1.5656651769693677e-32,6.943774026750085e-32
0.08600000000000001,5.003075468616051e-32,5.046576185052021e-32
0.08700000000000001,-6.775335122083171e-32,-2.1036826215141883e-32
0.088,6.958303714836757e-32,-1.3210474946044117e-32
0.089,5.188447848871189e-32,-4.8037728757405394e-32
0.09,-2.3221482404644866e-32,6.666144000607391e-32
0.091,1.566086655813066e-32,6.871055079452768e-32
0.092,4.964912178605987e-32,4.984817070966306e-32
0.093,6.841889697325501e-32,1.5882626931470553e-32
0.094,6.631027202532737e-32,-2.2802057470888003e-32
0.095,4.403425913799387e-32,-5.442065192619807e-32
0.096,8.435281560937223e-33,-6.937694965360411e-32
0.097,-2.0422346797311337e-32,-6.671573220842435e-32
0.098,-5.26216817361557e-32,-4.5637922041412943e-32
0.099,-6.87041106119249e-32,-1.0745257364407198e-32
0.1,-6.383030814119766e-32,2.7300456359314947e-32
0.101,-3.955283013315442e-32,5.691360222940607e-32
0.10200000000000001,-3.322489181500446e-33,6.911266356146735e-32
0.10300000000000001,3.379812754076332e-32,6.024411737181077e-32
0.10400000000000001,6.051238700694956e-32,3.307626104492905e-32
0.105,6.861499268742568e-32,5.651952711644335e-33
0.106,6.105692095687185e-32,-3.1563279700727404e-32
0.107,3.494788869335881e-32,-5.905177575954345e-32
0.108,-1.7068924584896372e-33,-6.848273432948447e-32
0.109,-2.931326139495002e-32,-6.178927471964911e-32
0.11,-5.753571196560881e-32,-3.675947445510008e-32
0.111,-6.815943369106964e-32,-6.291724141467993e-34
0.112,-5.801080335299218e-32,3.557231679540085e-32
0.113,-3.0246591830614776e-32,6.083072357747156e-32
0.114,6.627526044958113e-33,6.749778253944018e-32
0.115,4.1362559525337285e-32,5.360695877765715e-32
0.116,6.339775252321584e-32,2.345284386219355e-32
0.117,6.607132447665191e-32,-1.373627724790852e-32
0.11800000000000001,5.471370200539382e-32,-3.9311079421997014e-32
0.11900000000000001,2.54760758800826e-32,-6.224801253665212e-32
0.12,-1.1415159546330728e-32,-6.617012361400493e-32
0.121,-3.7233421922117606e-32,-5.574458839928747e-32
0.122,-6.10359387271342e-32,-2.744898314729727e-32
0.123,-6.618951742282216e-32,9.103608548001504e-33
0.124,-5.11882798202979e-32,4.276485621024946e-32
0.125,-2.06633112889397e-32,6.330319842467056e-32
0.126,1.604673486614893e-32,6.451366816890638e-32
0.127,4.775251869016216e-32,4.6092308048062707e-32
0.128,6.482444537120122e-32,1.3709009776726708e-32
0.129,6.211720704283304e-32,-2.2737387705538322e-32
0.13,4.7457976176741715e-32,-4.592075640195728e-32
0.131,1.583496117081603e-32,-6.399778896345978e-32
0.132,-2.0500487937255627e-32,-6.254381577804344e-32
0.133,-5.047790018579939e-32,-4.206619229490755e-32
0.134,-6.499802997456669e-32,-8.858389108041862e-33
0.135,-5.969467476359855e-32,2.6934004406709056e-32
0.136,-3.624730903982718e-32,5.44128189001695e-32
0.137,-1.849998041589544e-33,6.524549609868453e-32
0.138,3.2995694223729675e-32,5.619166962307257e-32
0.139,5.287843809730111e-32,3.7894060951586025e-32
0.14,6.481938120109261e-32,4.056280766135515e-33
0.14100000000000001,5.699977483618064e-32,-3.0902987724115776e-32
0.14200000000000002,3.1864434673179537e-32,-5.634391612345021e-32
0.14300000000000002,-2.8817767599907017e-33,-6.455796696578279e-32
0.14400000000000002,-3.663560125355213e-32,-5.310340396021794e-32
0.145,-4.966981643688554e-32,-4.100240758600261e-32
0.146,-6.375072014198109e-32,-8.386248719494515e-33
0.147,-5.838908519717081e-32,2.667282415260353e-32
0.148,-3.5280849555965945e-32,5.350022047761067e-32
0.149,-1.5155781680620487e-33,6.396129854039737e-32
0.15,3.2598433029476263e-32,5.492781704604274e-32
0.151,5.66810903989896e-32,2.921301894981862e-32
0.152,6.343880748907312e-32,-5.304048675543953e-33
0.153,5.087325300704784e-32,-3.809253376419354e-32
0.154,3.097599532923695e-32,-5.537305630736115e-32
0.155,-3.119313191863188e-33,-6.326579579780966e-32
0.156,-3.6152132152394365e-32,-5.188412412165818e-32
0.157,-5.807600884374789e-32,-2.475497095191419e-32
0.158,-6.22577356932797e-32,9.815417272970726e-33
0.159,-4.748409558203138e-32,4.1284495321667513e-32
0.16,-1.8312937534353508e-32,6.008835173281542e-32
0.161,1.6332719666120415e-32,6.054820076187036e-32
0.162,4.589397563658845e-32,4.2585181669648727e-32
0.163,6.139395883190594e-32,1.1725716172678854e-32
0.164,6.076595963953728e-32,-1.4184782729569402e-32
0.165,4.390723608229059e-32,-4.419170856936255e-32
0.166,1.374616608281372e-32,-6.065378058182094e-32
0.167,-2.0496702751762392e-32,-5.860761066062973e-32
0.168,-4.8389649996263877e-32,-3.873732215169113e-32
0.169,-6.146758595304397e-32,-7.147616736956164e-33
0.17,-5.580094744398438e-32,2.651157396942779e-32
0.171,-3.317614480492005e-32,5.199280579795981e-32
0.17200000000000001,-5.330383588924153e-34,6.157081876616902e-32
0.17300000000000001,2.4468242861359203e-32,5.639094328268054e-32
0.17400000000000002,5.057623536626694e-32,3.475778090827638e-32
0.17500000000000002,6.120990426011447e-32,2.621813791260801e-33
0.176,5.690823620874058e-32,-2.2416244426342134e-32
0.177,3.6282485897392814e-32,-4.9113819055921464e-32
0.178,4.686698288933041e-33,-6.078003731204464e-32
0.179,-2.0358096854573493e-32,-5.735293655274599e-32
0.18,-4.760774624005381e-32,-3.7749019225181906e-32
0.181,-6.028241347183332e-32,-6.725482349767422e-33
0.182,-5.457442810423425e-32,2.6240992669520675e-32
0.183,-3.228157554820288e-32,5.111413635860525e-32
0.184,-2.4148054180715387e-34,6.035341338739512e-32
0.185,3.1765460602024544e-32,5.119986885916404e-32
0.186,5.400148543125097e-32,2.649960766445259e-32
0.187,5.973396497244622e-32,-6.18076410209597e-33
0.188,4.727375537454448e-32,-3.68719313386435e-32
0.189,2.04723236803741e-32,-5.624295529084043e-32
0.19,-1.2468470210227594e-32,-5.84380175958433e-32
0.191,-4.1506205322181635e-32,-4.284644483184625e-32
0.192,-5.781935616888869e-32,-1.4271046636376546e-32
0.193,-5.941933628060116e-32,2.0689149399824258e-33
0.194,-4.918559941730449e-32,3.322576159119039e-32
0.195,-2.4021566967204825e-32,5.417023518973413e-32
0.196,8.367107350715259e-33,5.856412065008211e-32
0.197,3.810236924127873e-32,4.5125687920655236e-32
0.198,5.61463173523052e-32,1.8002821888971926e-32
0.199,5.70481214088201e-32,-1.4507009199961973e-32
0.2,4.0590459614041934e-32,-4.249500539970407e-32
0.201,1.183822119736895e-32,-5.746107560032878e-32
0.202,-2.04200263607034e-32,-5.489523888219829e-32
0.203,-4.6358284938801297e-32,-3.5636474300768036e-32
0.20400000000000001,-5.810606465706582e-32,-5.599667592227446e-33
0.20500000000000002,-5.213641412893027e-32,2.604084015380208e-32
0.20600000000000002,-3.0324514719772396e-32,4.965332401018652e-32
0.20700000000000002,6.408065082845159e-34,5.808057765592524e-32
0.20800000000000002,3.1308121243575154e-32,4.8809205278351383e-32
0.209,4.338213029094191e-32,3.833194425753226e-32
0.21,5.70154157403074e-32,9.457113077692184e-33
0.211,5.32568181743626e-32,-2.219888492056928e-32
0.212,3.330773925839854e-32,-4.699569366485218e-32
0.213,3.2914156754402485e-33,-5.741189520368255e-32
0.214,-2.762640870323567e-32,-5.032629357199226e-32
0.215,-5.003621673793106e-32,-2.795287236297756e-32
0.216,-5.7148304554708e-32,2.8505475686130877e-33
0.217,-5.410389595523395e-32,1.8328323216580512e-32
0.218,-3.607482418796412e-32,4.4169072450947166e-32
0.219,-7.130253462465623e-33,5.648571886355776e-32
0.22,2.3887322344858097e-32,5.157602006951469e-32
0.221,4.7534138954037815e-32,3.099104081104042e-32
0.222,5.664035732558036e-32,1.0457712235489198e-33
0.223,4.848386650429749e-32,-2.9118015060392844e-32
0.224,2.5603664467672465e-32,-5.032248418296697e-32
0.225,-4.990120878677717e-33,-5.614614946310261e-32
0.226,-3.3963889711544495e-32,-4.486838822877642e-32
0.227,-5.250798033557537e-32,-1.997728495374573e-32
0.228,-5.501519940121632e-32,1.0908925842862213e-32
0.229,-4.077611147804802e-32,3.8373394794882494e-32
0.23,-1.4178580805496016e-32,5.407164917527499e-32
0.231,1.6644166340756793e-32,5.326676776011374e-32
0.232,4.2300478751165983e-32,3.6258548578596514e-32
0.233,5.500180778222246e-32,8.275536488405453e-33
0.234,5.09269803290443e-32,-2.2132124349443355e-32
0.23500000000000001,4.286905715307585e-32,-3.5147849756880196e-32
0.23600000000000002,1.7658265877765478e-32,-5.245079928732762e-32
0.23700000000000002,-1.284102483357564e-32,-5.373840441563056e-32
0.23800000000000002,-3.9332034599834725e-32,-3.867221650469818e-32
0.23900000000000002,-5.376841025580689e-32,-1.1890432585945927e-32
0.24,-5.179810755232108e-32,1.841980264605321e-32
0.241,-4.471840404564957e-32,3.182042965839398e-32
0.242,-2.098577828030612e-32,5.061470450645443e-32
0.243,9.052636731571438e-33,5.394729026708152e-32
0.244,3.6236893277420056e-32,4.085572577463529e-32
0.245,5.230588236699644e-32,1.5377677767663592e-32
0.246,5.240772329878897e-32,-1.469412840405122e-32
0.247,3.6564566949251365e-32,-4.019528328651467e-32
0.248,9.649636810053012e-33,-5.338246111662417e-32
0.249,-2.0111556182382085e-32,-5.02845397906606e-32
0.25,-4.3654919600706196e-32,-3.189823202497978e-32
0.251,-5.383825256535172e-32,-3.868311075620084e-33
0.252,-4.760781137670496e-32,2.5245237104883274e-32
0.253,-2.691378272492348e-32,4.6581226856433404e-32
0.254,1.8996980436791665e-33,5.367422469119309e-32
0.255,3.0039324832754685e-32,4.4413636595869e-32
0.256,4.894606880901858e-32,2.167134853119355e-32
0.257,5.289841937267827e-32,-7.588604038177318e-33
0.258,4.0743668375435396e-32,-3.4442409708340345e-32
0.259,1.6233408977499827e-32,-5.072800581411944e-32
0.26,1.75022943257327e-33,-5.314461779122782e-32
0.261,-2.6670163971000074e-32,-4.58988783640018e-32
0.262,-4.688178225882079e-32,-2.4712860271794234e-32
0.263,-5.276270855884976e-32,3.921358485152188e-33
0.264,-4.2571404416076793e-32,3.126724471842072e-32
0.265,-1.9461982906814e-32,4.90093040821616e-32
0.266,9.491698377050094e-33,5.178160699250825e-32
0.267,3.5461249728115654e-32,3.8790517110705025e-32
0.268,5.055555965589469e-32,1.404093366739319e-32
0.269,5.02184875591267e-32,-1.4898137705069296e-32
0.27,3.460393741099611e-32,-3.9208258978884814e-32
0.271,8.513359614093172e-33,-5.150866147631069e-32
0.272,-2.0080520452599549e-32,-4.809700535940389e-32
0.273,-4.246989789937323e-32,-3.0063547856242734e-32
0.274,-5.186361911007849e-32,-2.9434919149180344e-33
0.275,-4.5446961304901115e-32,2.4981849769611895e-32
0.276,-2.5224758220062177e-32,4.521372074918773e-32
0.277,2.6045940249825596e-33,5.162232759982732e-32
0.278,1.6584563012642148e-32,4.8864201796032964e-32
0.279,3.9917958429017565e-32,3.2564604391802904e-32
0.28,5.102896464472272e-32,6.411710867230049e-33
0.281,4.6577814478067824e-32,-2.1604866619982605e-32
0.28200000000000003,2.7970524615472485e-32,-4.295509168955354e-32
0.28300000000000003,9.153325928943612e-34,-5.116550201093774e-32
0.28400000000000003,-2.6328308700734313e-32,-4.378186803254755e-32
0.28500000000000003,-4.547109776802712e-32,-2.310249885369631e-32
0.28600000000000003,-5.071594190007172e-32,4.536816574459208e-33
0.28700000000000003,-4.051338580183118e-32,3.070386177548947e-32
0.28800000000000003,-1.8018886573077064e-32,4.744240808769371e-32
0.289,-4.361243601205592e-33,5.047644332215628e-32
0.29,9.582406641379493e-33,4.966414398658786e-32
0.291,3.441636713446798e-32,3.6950639414202754e-32
0.292,4.8696762930112015e-32,1.3037486583358703e-32
0.293,4.8114010251927794e-32,-1.4762646356498504e-32
0.294,3.289486859650287e-32,-3.797884156954797e-32
0.295,7.718354879926931e-33,-4.956299941997663e-32
0.296,-1.972262866178622e-32,-4.602943531186381e-32
0.297,-4.107183207836313e-32,-2.8503518245091645e-32
0.298,-4.985419181710091e-32,-2.363941112462674e-33
0.299,-4.343956026418306e-32,2.4407860582068345e-32
0.3,-2.383011346189383e-32,4.366466222664927e-32
0.301,2.9642113701470974e-33,4.957273404782873e-32
0.302,2.8767531308716494e-32,4.037901101061262e-32
0.303,4.5732676839477086e-32,1.8930870190992346e-32
0.304,4.8727540683453017e-32,-8.20547170956636e-33
0.305,3.688744796407281e-32,-3.275505624681493e-32
0.306,1.3864025987012114e-32,-4.7257463857480797e-32
0.307,-1.330080537119379e-32,-4.7333880179587467e-32
0.308,-2.5686570796721864e-32,-4.1827779127762754e-32
0.309,-4.3892949246173484e-32,-2.1788854787065197e-32
0.31,-4.8684638833069814e-32,4.812480669413741e-33
0.311,-3.864844497629206e-32,2.986113132991735e-32
0.312,-1.6887148688201518e-32,4.5741399320644394e-32
0.313,9.939519564561525e-33,4.7652342112900974e-32
0.314,3.365288987285011e-32,3.505905653123276e-32
0.315,4.704870682010295e-32,1.1841222592057359e-32
0.316,4.6085727742841825e-32,-1.490195094280172e-32
0.317,3.110471480365223e-32,-3.702232170348495e-32
0.318,6.71017828308393e-33,-4.7805315793503036e-32
0.319,-1.9644700114332095e-32,-4.400801613997212e-32
0.32,-3.993512188838333e-32,-2.6834242867622864e-32
0.321,-4.8008058966280775e-32,-1.553502236611759e-33
0.322,-4.144803768883077e-32,2.4115751003870168e-32
0.323,-2.22995908563303e-32,4.236254539482645e-32
0.324,3.5696180430576856e-33,4.766013036878527e-32
0.325,2.826671017651418e-32,3.843984743665618e-32
0.326,4.4281680278096334e-32,1.7555211141342954e-32
0.327,4.73145861550106e-32,4.778249311243275e-33
0.328,4.2569391391249054e-32,-2.1019582701159155e-32
0.329,2.488856823340931e-32,-4.0336514062265635e-32
0.33,-3.055779555440049e-34,-4.7317079722108075e-32
0.331,-2.532291365869855e-32,-3.9878547476737886e-32
0.332,-4.255268973169256e-32,-2.03320188454095e-32
0.333,-4.677879081062968e-32,5.335328034197342e-33
0.334,-3.675873062816474e-32,2.929402582446828e-32
0.335,-1.558844580101399e-32,4.426050568690782e-32
0.336,1.0254057095936299e-32,4.5711252067506186e-32
0.337,3.2890841443464907e-32,3.324986365658453e-32
0.338,4.5445502618281434e-32,1.0713921381992261e-32
