M_PBH_g,beta,lifetime_Gyr,evaporated,m_remnant_kg,n_today_m3
1.000e+12,1.000000e-01,1.657e-10,True,1.000000e-05,1.000000e-58
1.207e+12,1.000000e-01,2.912e-10,True,1.000000e-05,8.286428e-59
1.456e+12,1.000000e-01,5.119e-10,True,1.000000e-05,6.866488e-59
1.758e+12,1.000000e-01,8.996e-10,True,1.000000e-05,5.689866e-59
2.121e+12,1.000000e-01,1.581e-09,True,1.000000e-05,4.714866e-59
2.560e+12,1.000000e-01,2.779e-09,True,1.000000e-05,3.906940e-59
3.089e+12,1.000000e-01,4.884e-09,True,1.000000e-05,3.237458e-59
3.728e+12,1.000000e-01,8.583e-09,True,1.000000e-05,2.682696e-59
4.498e+12,1.000000e-01,1.508e-08,True,1.000000e-05,2.222996e-59
5.429e+12,1.000000e-01,2.651e-08,True,1.000000e-05,1.842070e-59
6.551e+12,1.000000e-01,4.659e-08,True,1.000000e-05,1.526418e-59
7.906e+12,1.000000e-01,8.189e-08,True,1.000000e-05,1.264855e-59
9.541e+12,1.000000e-01,1.439e-07,True,1.000000e-05,1.048113e-59
1.151e+13,1.000000e-01,2.529e-07,True,1.000000e-05,8.685114e-60
1.389e+13,1.000000e-01,4.445e-07,True,1.000000e-05,7.196857e-60
1.677e+13,1.000000e-01,7.813e-07,True,1.000000e-05,5.963623e-60
2.024e+13,1.000000e-01,1.373e-06,True,1.000000e-05,4.941713e-60
2.442e+13,1.000000e-01,2.413e-06,True,1.000000e-05,4.094915e-60
2.947e+13,1.000000e-01,4.241e-06,True,1.000000e-05,3.393222e-60
3.556e+13,1.000000e-01,7.454e-06,True,1.000000e-05,2.811769e-60
4.292e+13,1.000000e-01,1.310e-05,True,1.000000e-05,2.329952e-60
5.179e+13,1.000000e-01,2.303e-05,True,1.000000e-05,1.930698e-60
6.251e+13,1.000000e-01,4.047e-05,True,1.000000e-05,1.599859e-60
7.543e+13,1.000000e-01,7.112e-05,True,1.000000e-05,1.325711e-60
9.103e+13,1.000000e-01,1.250e-04,True,1.000000e-05,1.098541e-60
1.099e+14,1.000000e-01,2.197e-04,True,1.000000e-05,9.102982e-61
1.326e+14,1.000000e-01,3.861e-04,True,1.000000e-05,7.543120e-61
1.600e+14,1.000000e-01,6.786e-04,True,1.000000e-05,6.250552e-61
1.931e+14,1.000000e-01,1.193e-03,True,1.000000e-05,5.179475e-61
2.330e+14,1.000000e-01,2.096e-03,True,1.000000e-05,4.291934e-61
2.812e+14,1.000000e-01,3.684e-03,True,1.000000e-05,3.556480e-61
3.393e+14,1.000000e-01,6.474e-03,True,1.000000e-05,2.947052e-61
4.095e+14,1.000000e-01,1.138e-02,True,1.000000e-05,2.442053e-61
4.942e+14,1.000000e-01,2.000e-02,True,1.000000e-05,2.023590e-61
5.964e+14,1.000000e-01,3.515e-02,True,1.000000e-05,1.676833e-61
7.197e+14,1.000000e-01,6.177e-02,True,1.000000e-05,1.389495e-61
8.685e+14,1.000000e-01,1.086e-01,True,1.000000e-05,1.151395e-61
1.048e+15,1.000000e-01,1.908e-01,True,1.000000e-05,9.540955e-62
1.265e+15,1.000000e-01,3.353e-01,True,1.000000e-05,7.906043e-62
1.526e+15,1.000000e-01,5.893e-01,True,1.000000e-05,6.551286e-62
1.842e+15,1.000000e-01,1.036e+00,True,1.000000e-05,5.428675e-62
2.223e+15,1.000000e-01,1.820e+00,True,1.000000e-05,4.498433e-62
2.683e+15,1.000000e-01,3.199e+00,True,1.000000e-05,3.727594e-62
3.237e+15,9.540955e-02,5.623e+00,True,1.000000e-05,2.947052e-62
3.907e+15,6.551286e-02,9.882e+00,True,1.000000e-05,1.676833e-62
4.715e+15,4.498433e-02,1.737e+01,False,1.000000e-05,9.540955e-63
5.690e+15,3.088844e-02,3.052e+01,False,1.000000e-05,5.428675e-63
6.866e+15,2.120951e-02,5.365e+01,False,1.000000e-05,3.088844e-63
8.286e+15,1.456348e-02,9.429e+01,False,1.000000e-05,1.757511e-63
1.000e+16,1.000000e-02,1.657e+02,False,1.000000e-05,1.000000e-63
