topology,n_meridians,n_longitudes,level,eigenvalue,scaled_eigenvalue,gap,ratio
klein,8,8,0,0.1522409349774265,0.9872148307666583,,
klein,8,8,1,0.5857864376269054,3.798564814207138,0.4335455026494789,
klein,8,8,2,0.7380273726043309,4.785779644973791,0.15224093497742552,0.3511533023570819
klein,8,8,3,1.1715728752538097,7.597129628414269,0.4335455026494788,2.8477590650225935
klein,8,8,4,1.2346331352698199,8.006047400293676,0.06306026001601017,0.14545246030840353
klein,8,8,5,1.820419572896729,11.804612214500839,0.5857864376269091,9.289312119521638
klein,8,8,6,2.000000000000005,12.969111506219269,0.17958042710327593,0.30656296487637663
klein,8,8,7,2.152240934977428,13.956326336985905,0.15224093497742297,0.8477590650225476
klein,8,8,8,2.585786437626906,16.76767632042638,0.4335455026494781,2.847759065022637
klein,8,8,9,2.765366864730182,17.93217561214481,0.17958042710327593,0.4142135623730985
klein,8,8,10,3.23463313526982,20.975158906512913,0.469266270539638,2.613125929752717
klein,8,8,11,3.3511533023570843,21.73074042635193,0.11652016708726443,0.2483028813327469
klein,8,8,12,3.4142135623730927,22.139658198231324,0.0630602600160084,0.5411961001461767
klein,8,8,13,3.566454497350521,23.126873028997995,0.1522409349774283,2.4142135623732064
klein,8,8,14,3.847759065022573,24.951008181671813,0.28130456767205203,1.847759065022552
klein,8,8,15,4.000000000000001,25.93822301243848,0.15224093497742786,0.5411961001462018
klein,8,8,16,4.152240934977427,26.925437843205135,0.15224093497742608,0.9999999999999883
klein,8,8,17,4.43354550264948,28.74957299587896,0.2813045676720529,1.8477590650225846
klein,8,8,18,4.585786437626905,29.73678782664561,0.1522409349774252,0.5411961001461906
klein,8,8,19,4.648846697642915,30.145705598525016,0.06306026001600973,0.41421356237309315
klein,8,8,20,4.765366864730179,30.901287118364028,0.11652016708726443,1.847759065022604
klein,8,8,21,5.23463313526982,33.94427041273215,0.46926627053964065,4.027339492125832
torus,8,8,0,1.5634174151417293e-16,1.013806739386907e-15,,
torus,8,8,1,0.5857864376269053,3.7985648142071375,0.5857864376269052,
torus,8,8,2,1.1715728752538102,7.597129628414272,0.5857864376269049,0.9999999999999994
torus,8,8,3,2.0,12.969111506219237,0.8284271247461898,1.414213562373095
torus,8,8,4,2.585786437626905,16.76767632042637,0.5857864376269051,0.7071067811865479
torus,8,8,5,3.414213562373094,22.13965819823133,0.828427124746189,1.4142135623730927
torus,8,8,6,4.0,25.938223012438474,0.585786437626906,0.7071067811865497
torus,8,8,7,4.585786437626904,29.736787826645603,0.5857864376269042,0.999999999999997
torus,8,8,8,5.414213562373087,35.10876970445052,0.8284271247461827,1.4142135623730843
klein,16,16,0,0.038429439193539194,0.9967913640449634,,
klein,16,16,1,0.1522409349774266,3.9488593230666362,0.11381149578388741,
klein,16,16,2,0.19067037417096516,4.945650687111583,0.038429439193538556,0.3376586778765376
klein,16,16,3,0.30448186995485327,7.897718646133274,0.1138114957838881,2.9615705608065217
klein,16,16,4,0.3370607753949103,8.742757560938617,0.03257890544005704,0.2862532050533784
klein,16,16,5,0.489301710372336,12.691616884005231,0.1522409349774257,4.6729910941157495
klein,16,16,6,0.5857864376269046,15.194259256828532,0.09648472725456864,0.633763365082298
klein,16,16,7,0.6242158768204433,16.191050620873483,0.038429439193538695,0.398295567464736
klein,16,16,8,0.7380273726043312,19.143118579895166,0.11381149578388783,2.961570560806504
klein,16,16,9,0.8888595339607968,23.055436818607276,0.1508321613564656,1.325280546728556
klein,16,16,10,0.9228472130218139,23.937016817767123,0.033987679061017184,0.2253344297088816
klein,16,16,11,1.0411004689382206,27.00429614167384,0.11825325591640667,3.4792977685857784
klein,16,16,12,1.1715728752538106,30.3885185136571,0.13047240631558998,1.10333035064862
klein,16,16,13,1.234633135269825,32.02418960117484,0.06306026001601439,0.48332257982184085
klein,16,16,14,1.2730625744633621,33.02098096521975,0.03842943919353714,0.6094081943807057
klein,16,16,15,1.3868740702472473,35.97304892424136,0.11381149578388516,2.961570560806554
klein,16,16,16,1.4746459715877034,38.24969607543586,0.0877719013404561,0.7712041805260582
klein,16,16,17,1.571693910664731,40.76694716211335,0.09704793907702758,1.1056834544416545
klein,16,16,18,1.60981935596774,41.75585346483132,0.0381254453030091,0.392851673776902
klein,16,16,19,1.7620602909451697,45.70471278789803,0.15224093497742963,3.9931582114639284
klein,16,16,20,1.8204195728967236,47.218448858003214,0.05835928195155393,0.3833350206382137
torus,16,16,0,1.0181399553467734e-16,2.640874121965876e-15,,
torus,16,16,1,0.15224093497742666,3.9488593230666376,0.15224093497742655,
torus,16,16,2,0.3044818699548534,7.897718646133277,0.15224093497742672,1.000000000000001
torus,16,16,3,0.5857864376269049,15.194259256828538,0.2813045676720515,1.8477590650225675
torus,16,16,4,0.7380273726043322,19.14311857989519,0.1522409349774273,0.5411961001462008
torus,16,16,5,1.171572875253809,30.388518513657058,0.4335455026494769,2.847759065022548
torus,16,16,6,1.2346331352698208,32.024189601174726,0.06306026001601173,0.14545246030840775
torus,16,16,7,1.386874070247247,35.973048924241354,0.1522409349774263,2.4142135623730474
torus,16,16,8,1.8204195728967243,47.218448858003235,0.4335455026494772,2.847759065022569
torus,16,16,9,1.9999999999999991,51.87644602487693,0.17958042710327482,0.41421356237309676
torus,16,16,10,2.152240934977426,55.82530534794357,0.15224093497742697,0.8477590650225751
klein,32,32,0,0.009630546655606344,0.9991970675392434,,
klein,32,32,1,0.03842943919353914,3.9871654561798477,0.028798892537932795,
klein,32,32,2,0.048059985849145476,4.98636252371909,0.009630546655606337,0.3344068402255868
klein,32,32,3,0.07685887838707825,7.974330912359693,0.028798892537932774,2.9903694533443494
klein,32,32,4,0.08611932853558243,8.935129396949575,0.009260450148504185,0.3215557728932348
klein,32,32,5,0.12454876772912139,12.922294853129404,0.03842943919353896,4.149845696188577
