topology,level,n,N,t,D_eff,r2,weyl_slope,beta_obs
klein,0,128,16384,0.0,1.978393392413872,0.9963407788004381,0.989196696206936,0.019478057559329374
klein,1,64,4096,0.6931471805599453,1.9918945530939054,0.9964761165847761,0.9959472765469527,0.07632085370618585
klein,2,32,1024,1.3862943611198906,2.044796137658276,0.996450552607095,1.022398068829138,0.5255145548560087
klein,3,16,256,2.0794415416798357,2.4090550696999333,0.992453667549579,1.2045275348499667,-0.152559085183169
klein,4,8,64,2.772588722239781,2.303309169936415,0.9782053832915414,1.1516545849682076,
torus,0,128,16384,0.0,2.0307173166193446,0.9833704980400599,1.0153586583096723,0.01772943042547431
torus,1,64,4096,0.6931471805599453,2.043006421331696,0.9834326202301423,1.021503210665848,0.07264700130349974
torus,2,32,1024,1.3862943611198906,2.0933614854613514,0.983394797189746,1.0466807427306757,0.4867010743415261
torus,3,16,256,2.0794415416798357,2.4307169629166765,0.9828895868865221,1.2153584814583382,-0.23757737795520714
torus,4,8,64,2.772588722239781,2.2660408732222,0.936952570230423,1.1330204366111,
