step,total_info,mean_amp,entropy,twist_corr,patterns,up_frac,down_frac,zero_frac
1,9143.458556390538,0.18566468160323588,9.687918348448294,0.02749853187001852,3,0.288326619142377,0.28606377632717434,0.425609604530449
21,41373.4430782508,-0.2901902512065251,9.688016375831726,0.30935674636096144,1,0.0,0.0,0.0
41,42985.00950930208,-0.30546569785032335,9.69567391673965,0.38654038368713406,1,0.0,0.0,0.0
61,43420.17355332366,-0.3059480265891874,9.696906355553365,0.08540776429695246,1,0.0,0.0,0.0
81,43709.64336198524,-0.3063524552131988,9.697555775873408,-0.03574161708192883,1,0.0,0.0,0.0
101,43952.681429228,-0.3066679979640776,9.698374050619858,-0.03522863317269341,1,0.0,0.0,0.0
121,44144.399780503394,-0.30688955804743534,9.698927737643565,-0.021068620716662767,1,0.0,0.0,0.0
141,44324.346920796,-0.3070935073756777,9.699418977841866,0.011327625180511884,1,0.0,0.0,0.0
161,44427.37788346053,-0.307199679621122,9.699712578270493,0.11248292925668192,1,0.0,0.0,0.0
181,44518.60178149855,-0.3073281313185678,9.69997646044068,0.2354625031583735,1,0.0,0.0,0.0
201,44587.30445275077,-0.30740638744547716,9.700163977661699,0.2081654487297147,1,0.0,0.0,0.0
221,44638.59093103694,-0.30745954824116084,9.700294171533322,0.16080006207259623,1,0.0,0.0,0.0
241,44679.58470871258,-0.30751589330920504,9.70041408037974,0.056941507799540894,1,0.0,0.0,0.0
261,44736.60752853961,-0.3075499493636839,9.700661152662844,-0.01957858530382995,1,0.0,0.0,0.0
281,44770.44150253724,-0.3076313742188013,9.700771586700387,-0.020811502100277452,1,0.0,0.0,0.0
301,44801.43924643782,-0.30765586312532417,9.700829688952721,-0.020236797829082796,1,0.0,0.0,0.0
321,44818.37151368811,-0.3076996526164884,9.70082918271385,-0.022035959370876573,1,0.0,0.0,0.0
341,44848.84946574935,-0.30774535125408153,9.70092330827389,-0.020550355273775994,1,0.0,0.0,0.0
361,44871.95973331508,-0.3077849493857963,9.700988407753027,-0.025825436231595864,1,0.0,0.0,0.0
381,44900.26130684085,-0.30776460025948493,9.701070717306415,-0.03516976603474833,1,0.0,0.0,0.0
