step,total_info,golden_frac,entropy,twist_corr,patterns
1,9349.449751312059,0.2135009765625,9.500912007335453,0.043716406200989516,271
21,21306.851950433924,0.19134521484375,9.36665254058417,0.07337789559171368,22
41,22402.299781720543,0.185943603515625,9.381108855482019,0.013428243369459938,15
61,22133.470793851164,0.182403564453125,9.375954546069256,-0.009506783182491315,17
81,21875.593632064203,0.180389404296875,9.369503489180222,-0.016376434745719044,12
101,21475.066123383407,0.177032470703125,9.36031510090357,-0.008601821216293624,15
121,21275.83573665801,0.17620849609375,9.355420762565545,-0.01565741678377042,19
141,21166.667551995695,0.17449951171875,9.35189713327377,-0.04554795536312932,22
161,21020.841229443016,0.17303466796875,9.349918148180976,-0.02549643155925813,22
181,20897.635674030294,0.172088623046875,9.346407120653428,-0.05543097068714779,21
201,20754.531950139797,0.1712646484375,9.343563134641439,-0.040489469370071515,19
221,20595.885622436756,0.169189453125,9.339803635055805,-0.050833237873060294,23
241,20412.155282526564,0.167999267578125,9.33437109404773,-0.01622659688517518,24
261,20258.45295544507,0.16693115234375,9.331622536564208,-0.009082772648101325,26
281,20078.59849897225,0.16522216796875,9.325924641445699,-0.021975954544142105,34
301,19851.69442006868,0.163604736328125,9.32123218005906,-0.039499872522539094,32
321,19643.087194863594,0.1614990234375,9.31685664865378,-0.040865735772308814,36
341,19367.13257528675,0.159820556640625,9.308723926905106,-0.07621007494530589,42
361,19179.94471798421,0.158416748046875,9.303590370934932,-0.08488868418681003,35
381,18974.73678998025,0.156585693359375,9.298191325116047,-0.07873146048387934,37
401,18733.75099049023,0.155181884765625,9.291205598075445,-0.06274342968092084,44
421,18540.12523692532,0.154052734375,9.286372926426871,-0.05973309314960969,45
441,18338.963812268077,0.151824951171875,9.280614572090155,-0.05072556013038981,44
461,18227.065679991203,0.151214599609375,9.278089855591642,-0.06735158864891927,49
481,18084.25737682612,0.14996337890625,9.27319472229835,-0.06893423090051568,48
501,17995.441735316046,0.14898681640625,9.269763523004237,-0.046537248979627466,52
521,17829.74602426614,0.148284912109375,9.264931660243459,-0.07693128108870226,60
541,17740.580781781457,0.14739990234375,9.26503579191775,-0.07270339913773005,58
561,17570.359195114237,0.14599609375,9.258571251319806,-0.07576899187092799,54
581,17426.04223733559,0.145172119140625,9.254365216357428,-0.08098051118214944,68
601,17292.735186314952,0.144195556640625,9.252145094248288,-0.08065801628815346,81
