scheme,level,N,D_eff
Fibonacci,0,800,0.9245811858330115
Fibonacci,1,267,3.9780608334619614
Fibonacci,2,89,2.041527074209082
Fibonacci,3,30,3.533285230083355
Fibonacci,4,10,nan
Fibonacci,5,6,nan
Uniform,0,800,0.9245811858330141
Uniform,1,267,3.952956554679396
Uniform,2,89,3.3795688372666897
Uniform,3,30,3.5432538243674156
Uniform,4,10,nan
Uniform,5,6,nan
Random,0,800,0.9245811858330011
Random,1,267,22.014069911046796
Random,2,89,29.911540398447137
Random,3,30,4.160969384616408
Random,4,10,nan
Random,5,6,nan
