n_coarse,D_eff,r2,epoch,total_tick,golden_frac
2566,1.7930791489932267,0.9775226181398939,1,60,0.1881103515625
2583,1.3979476254325722,0.7965293814947643,2,120,0.18603515625
2587,1.423998915277824,0.9623222725484971,3,180,0.185546875
2587,1.5070257554262247,0.8484517119299984,4,240,0.1856689453125
2589,1.3939593107810058,0.7774386532302311,5,300,0.1854248046875
2590,1.5070875887228072,0.8978926122903186,6,360,0.185302734375
2589,1.6552029207892578,0.8479559885941876,7,420,0.1854248046875
2589,1.6552029207893997,0.8479559885941497,8,480,0.1854248046875
2589,1.6552029207892682,0.8479559885942168,9,540,0.1854248046875
2589,1.6552029207894896,0.847955988594202,10,600,0.1854248046875
2589,1.6552029207894023,0.8479559885942483,11,660,0.1854248046875
2589,1.6552029207893009,0.847955988594255,12,720,0.1854248046875
2589,1.6552029207894896,0.847955988594202,13,780,0.1854248046875
2589,1.6552029207893206,0.847955988594276,14,840,0.1854248046875
2589,1.6552029207893093,0.8479559885942175,15,900,0.1854248046875
