t,f,D_eff,G_eff
0.0,4.0,1.6527752305287717,2.313514111183942
0.4,4.0160593695104545,1.6499786957512435,2.3224383497687247
0.8,4.030883030816473,1.647407251224348,2.3307015475150292
1.2,4.044561814831309,1.645042782739028,2.3383484956164917
1.6,4.05718053702386,1.6428686333575293,2.345421586297938
2.0,4.068818289969764,1.6408694862507234,2.351960839546786
2.4,4.079548740085615,1.6390312569438021,2.3580039492173723
2.8000000000000003,4.089440424333282,1.6373409942165988,2.363586344476431
3.2,4.0985570435315415,1.6357867889648818,2.368741263095503
3.6,4.106957749633593,1.6343576903843633,2.3734998335893818
4.0,4.114697424937685,1.6330436288901065,2.377891163647061
4.4,4.121826951707927,1.6318353452309915,2.3819424327026235
4.8,4.128393471107154,1.630724325302082,2.3856789868497357
5.2,4.134440630694612,1.6297027401975344,2.389124434616881
5.6000000000000005,4.140008820029187,1.6287633910832922,2.3923007423941636
6.0,4.145135394152899,1.6278996585025063,2.395228328539637
6.4,4.149854884917564,1.6271054557576465,2.3979261553969673
6.8,4.154199200267118,1.626375186041789,2.4004118186302814
7.2,4.1581978117051515,1.6257037030178418,2.4027016334295093
7.6000000000000005,4.161877930266962,1.6250862745686157,2.4048107172635014
8.0,4.165264671382646,1.6245185494629,2.406753068961623
8.4,4.168381209066231,1.6239965267031315,2.4085416439900915
8.8,4.171248919898866,1.6235165273390797,2.410188425859333
9.200000000000001,4.173887517294658,1.6230751685492735,2.411704493655427
9.6,4.176315176548101,1.6226693398078162,2.4131000857340967
10.0,4.178548651164278,1.6222961809688872,2.4143846596514438
10.4,4.1806033809688286,1.6219530621147005,2.4155669484332343
10.8,4.182493592485494,1.621637565025082,2.416655013305341
11.200000000000001,4.184232392055998,1.621347466138226,2.4176562930230014
11.6,4.185831852161117,1.6210807208826765,2.418577649946944
12.0,4.187303091383833,1.6208354492702268,2.419425413020911
12.4,4.188656348436159,1.6206099226482826,2.4202054178085124
12.8,4.189901050650912,1.6204025515184144,2.420923043748085
13.200000000000001,4.191045877319131,1.6202118743353071,2.4215832487830995
13.6,4.192098818233031,1.6200365472072202,2.42219060152282
14.0,4.193067227773822,1.6198753344254193,2.422749311083932
14.4,4.193957874863516,1.6197270997558713,2.4232632547589117
14.8,4.194776989080199,1.6195907984318607,2.4237360036513307
15.200000000000001,4.195530303217279,1.61946546979112,2.4241708464122356
15.6,4.196223092548903,1.6193502305056091,2.424570811205371
16.0,4.196860211046446,1.6192442683562402,2.424938686022569
16.4,4.197446124774212,1.6191468365087003,2.425277037464025
16.8,4.197984942676908,1.6190572482500318,2.4255882280917413
17.2,4.198480444956498,1.6189748721488917,2.4258744324579915
17.6,4.198936109222048,1.6188991276053883,2.4261376519044533
18.0,4.199355134582991,1.6188294807591423,2.4263797282216215
18.400000000000002,4.199740463843929,1.6187654407267302,2.4266023562523626
18.8,4.200094803947425,1.6187065561420084,2.426807095517867
19.2,4.200420644800503,1.6186524119749321,2.426995380939041
19.6,4.2007202766104195,1.6186026266064546,2.427168532721329
20.0,4.200995805845892,1.6185568491388933,2.427327765466248
20.400000000000002,4.201249169931192,1.6185147569228098,2.427474196568421
20.8,4.2014821507723585,1.6184760532829743,2.4276088539527096
21.2,4.201696387207241,1.6184404654273914,2.427732683202104
21.6,4.201893386464034,1.6184077425246475,2.4278465541233074
22.0,4.202074534706468,1.6183776539360342,2.4279512667935155
22.400000000000002,4.202241106737764,1.6183499875899876,2.4280475571286595
22.8,4.202394274929903,1.6183245484873878,2.4281361020103525
23.2,4.2025351174395755,1.6183011573271793,2.4282175240060155
23.6,4.202664625767362,1.6182796492426357,2.4282923957139966
