section,label,E_GeV,phi_mu,alpha_s_pred,alpha_s_ref,alpha_s_err_pct
15a,M_Z (91.2 GeV),91.1876,2.3776609789725325,0.12165303892417849,0.118,3.0957956984563517
15a,m_tau (1.78 GeV),1.77686,0.33174743516284216,0.3256069047471335,0.33,1.331240985717127
15a,m_b (4.18 GeV),4.18,0.7761793050727596,0.2629134705943369,0.22,19.50612299742586
15a,m_t (173 GeV),173.0,2.7103484973510152,0.10365622364620702,0.09,15.173581829118918
15a,n_layers_planck,,22.86502571581354,,,
15b,neutron_mass,,,0.9395286749407604,0.9396,
15b,convergence_epochs,,0.0,,,
15b,d_eff_converged,,1.655,,,
15b,residual_epoch_equiv,,0.05,,,
15b,total_equivalent_epochs,,7.0,,,
15b,implied_magnification,,29.7,,,
15b,phi8_target,,47.0,,,
15b,ratio,,0.632,,,
15c,chi2_const_eps,,50.41658914708017,,,
15c,chi2_running_eps,,50.74168366502437,,,
15c,delta_chi2,,-0.3250945179442013,,,
