model,D_eff,theta_arcmin,gamma_t,noise
GR (constant G),nan,5.327411890998008,0.0,0.00019762053928159315
GR (constant G),nan,15.162633843609715,9.681923249297566e-05,0.00011713937276287132
GR (constant G),nan,24.997855796221423,1.1678613421294871e-05,9.123024449047658e-05
GR (constant G),nan,34.833077748833134,-3.906799558274802e-05,7.728483666034062e-05
GR (constant G),nan,44.66829970144484,-9.641499625971976e-05,6.82480908828205e-05
GR (constant G),nan,54.50352165405654,-0.00018010849360406274,6.17842722825446e-05
GR (constant G),nan,64.33874360666826,-0.0003551494871400013,5.686616358722844e-05
GR (constant G),nan,74.17396555927996,-0.00045567927892073087,5.2962011200217225e-05
GR (constant G),nan,84.00918751189167,-0.000355229241087973,4.9765322831991095e-05
GR (constant G),nan,93.84440946450337,-0.00028467246728174637,4.7085372991725966e-05
GR (constant G),nan,103.67963141711508,-0.0002332251535990574,4.479643937437235e-05
GR (constant G),nan,113.5148533697268,-0.0001945614937862094,4.281183783528908e-05
GR (constant G),nan,123.3500753223385,-0.00016477200976503642,4.106960334919488e-05
GR (constant G),nan,133.18529727495022,-0.00014133499509322658,3.95241078563186e-05
Phase 4 window (D~1.67),1.6666666666666667,5.327411890998008,0.0,0.00019762053928159315
Phase 4 window (D~1.67),1.6666666666666667,15.162633843609715,3.6862062655740324e-05,0.00011713937276287132
Phase 4 window (D~1.67),1.6666666666666667,24.997855796221423,4.446407687637682e-06,9.123024449047658e-05
Phase 4 window (D~1.67),1.6666666666666667,34.833077748833134,-1.4874388733766592e-05,7.728483666034062e-05
Phase 4 window (D~1.67),1.6666666666666667,44.66829970144484,-3.670815747621852e-05,6.82480908828205e-05
Phase 4 window (D~1.67),1.6666666666666667,54.50352165405654,-6.85728486491116e-05,6.17842722825446e-05
Phase 4 window (D~1.67),1.6666666666666667,64.33874360666826,-0.0001352163440053976,5.686616358722844e-05
Phase 4 window (D~1.67),1.6666666666666667,74.17396555927996,-0.00017349113082173215,5.2962011200217225e-05
Phase 4 window (D~1.67),1.6666666666666667,84.00918751189167,-0.00013524670878883443,4.9765322831991095e-05
Phase 4 window (D~1.67),1.6666666666666667,93.84440946450337,-0.00010838357271697272,4.7085372991725966e-05
Phase 4 window (D~1.67),1.6666666666666667,103.67963141711508,-8.879599645129227e-05,4.479643937437235e-05
Phase 4 window (D~1.67),1.6666666666666667,113.5148533697268,-7.407555079371249e-05,4.281183783528908e-05
Phase 4 window (D~1.67),1.6666666666666667,123.3500753223385,-6.273377707586856e-05,4.106960334919488e-05
Phase 4 window (D~1.67),1.6666666666666667,133.18529727495022,-5.381058401752203e-05,3.95241078563186e-05
Phase 14 pinned (D=phi),1.618033988749895,5.327411890998008,0.0,0.00019762053928159315
Phase 14 pinned (D=phi),1.618033988749895,15.162633843609715,3.580753423154101e-05,0.00011713937276287132
Phase 14 pinned (D=phi),1.618033988749895,24.997855796221423,4.31920744558981e-06,9.123024449047658e-05
Phase 14 pinned (D=phi),1.618033988749895,34.833077748833134,-1.444887088201648e-05,7.728483666034062e-05
Phase 14 pinned (D=phi),1.618033988749895,44.66829970144484,-3.5658031881778104e-05,6.82480908828205e-05
Phase 14 pinned (D=phi),1.618033988749895,54.50352165405654,-6.661115652395469e-05,6.17842722825446e-05
Phase 14 pinned (D=phi),1.618033988749895,64.33874360666826,-0.00013134815357064992,5.686616358722844e-05
Phase 14 pinned (D=phi),1.618033988749895,74.17396555927996,-0.00016852799757260815,5.2962011200217225e-05
Phase 14 pinned (D=phi),1.618033988749895,84.00918751189167,-0.00013137764969604318,4.9765322831991095e-05
Phase 14 pinned (D=phi),1.618033988749895,93.84440946450337,-0.00010528299857890229,4.7085372991725966e-05
Phase 14 pinned (D=phi),1.618033988749895,103.67963141711508,-8.625577228946267e-05,4.479643937437235e-05
Phase 14 pinned (D=phi),1.618033988749895,113.5148533697268,-7.195644056974826e-05,4.281183783528908e-05
Phase 14 pinned (D=phi),1.618033988749895,123.3500753223385,-6.0939125710270475e-05,4.106960334919488e-05
Phase 14 pinned (D=phi),1.618033988749895,133.18529727495022,-5.227120216308841e-05,3.95241078563186e-05
D=2 (grid),2.0,5.327411890998008,0.0,0.00019762053928159315
D=2 (grid),2.0,15.162633843609715,4.329887707673003e-05,0.00011713937276287132
D=2 (grid),2.0,24.997855796221423,5.222834698591426e-06,9.123024449047658e-05
D=2 (grid),2.0,34.833077748833134,-1.7471738773537214e-05,7.728483666034062e-05
D=2 (grid),2.0,44.66829970144484,-4.3118097137424274e-05,6.82480908828205e-05
D=2 (grid),2.0,54.50352165405654,-8.054696700475405e-05,6.17842722825446e-05
D=2 (grid),2.0,64.33874360666826,-0.00015882767908384607,5.686616358722844e-05
D=2 (grid),2.0,74.17396555927996,-0.00020378596872096822,5.2962011200217225e-05
D=2 (grid),2.0,84.00918751189167,-0.00015886334613367375,4.9765322831991095e-05
D=2 (grid),2.0,93.84440946450337,-0.0001273093976329139,4.7085372991725966e-05
D=2 (grid),2.0,103.67963141711508,-0.0001043014595020644,4.479643937437235e-05
D=2 (grid),2.0,113.5148533697268,-8.701054518197341e-05,4.281183783528908e-05
D=2 (grid),2.0,123.3500753223385,-7.36882829247761e-05,4.106960334919488e-05
D=2 (grid),2.0,133.18529727495022,-6.320693132561077e-05,3.95241078563186e-05
