layer,N,D_eff,golden_frac
0,200,6.094459636451607,0.0
1,220,6.587632027919646,0.09090909090909091
2,240,7.643726955110815,0.16666666666666666
3,260,10.013228644982615,0.23076923076923078
4,280,8.828496527001704,0.2857142857142857
5,300,8.550364153395943,0.3333333333333333
6,320,9.46673034548688,0.375
7,340,9.245647434086852,0.4117647058823529
8,360,8.583568693491221,0.4444444444444444
9,380,8.545127408648689,0.47368421052631576
10,400,8.47634454161517,0.5
11,420,8.364870526733192,0.5238095238095238
12,440,8.242527948526108,0.5454545454545454
13,460,8.13363809439295,0.5652173913043478
14,480,8.016860657702951,0.5833333333333334
15,500,7.922136052313104,0.6
16,520,7.917778669379604,0.6153846153846154
17,540,7.914255847277508,0.6296296296296297
18,560,7.911106638520594,0.6428571428571429
19,580,7.908283108479744,0.6551724137931034
20,600,7.905751046467071,0.6666666666666666
21,620,7.903477975751415,0.6774193548387096
22,640,7.901433142435833,0.6875
23,660,7.8995884267195535,0.696969696969697
24,680,7.897918886848084,0.7058823529411765
