fiber_period,chern,n_base,n_total,cher_number_computed,spectral_dim,spectral_dim_r2,fiber_radius,alpha_raw,alpha_inv_raw
2,1,62,124,1,3.423660667611416,0.9856015381921379,0.3183098861837907,39.478417604357425,0.025330295910584447
3,1,62,186,1,4.101351804705245,0.9782940691406996,0.477464829275686,17.545963379714415,0.056993165798815
4,1,62,248,1,3.8800313810325133,0.9873849054334713,0.6366197723675814,9.869604401089356,0.10132118364233779
5,1,62,310,1,4.0109371591870655,0.9911412779181029,0.7957747154594768,6.316546816697188,0.1583143494411528
6,1,62,372,1,4.068101081354749,0.9881951192371603,0.954929658551372,4.386490844928604,0.22797266319526
7,1,62,434,1,4.140755612061685,0.9942099695885659,1.1140846016432675,3.222727967702647,0.3102961249046595
8,1,62,496,1,4.057758349428807,0.995270922935844,1.2732395447351628,2.467401100272339,0.40528473456935116
9,1,62,558,1,4.086199565473033,0.9952660959063159,1.432394487827058,1.949551486634935,0.512938492189335
10,1,62,620,1,4.066961852570793,0.9963527993697483,1.5915494309189535,1.579136704174297,0.6332573977646112
11,1,62,682,1,4.039838885830414,0.9958249846405633,1.7507043740108488,1.3050716563423943,0.7662414512951795
12,1,62,744,1,4.034190224287324,0.99589644826093,1.909859317102744,1.096622711232151,0.91189065278104
13,1,62,806,1,4.07158130206478,0.997102299829706,2.0690142601946393,0.9344004166711819,1.0702050022221927
14,1,62,868,1,4.026868258254327,0.995942424806188,2.228169203286535,0.8056819919256617,1.241184499618638
15,1,62,930,1,3.9809818007999533,0.9947261837545098,2.3873241463784303,0.7018385351885765,1.4248291449703752
16,1,62,992,1,4.020692518212955,0.9948688212147737,2.5464790894703255,0.6168502750680848,1.6211389382774046
17,1,62,1054,1,2.8869097424883363,0.9841135141436043,2.705634032562221,0.5464140844893762,1.830113879539726
18,1,62,1116,1,2.8883881768698942,0.9896351616887443,2.864788975654116,0.48738787165873376,2.05175396875734
19,1,62,1178,1,2.8961580229910604,0.992913136575191,3.0239439187460113,0.43743399007598266,2.286059205930246
20,1,62,1240,1,2.836728762548871,0.9841459651867005,3.183098861837907,0.39478417604357424,2.533029591058445
21,1,62,1302,1,2.811433571252199,0.9866053589508379,3.3422538049298023,0.35808088530029414,2.7926651241419354
22,1,62,1364,1,2.7896344122329038,0.9854951073586781,3.5014087480216975,0.3262679140855986,3.064965805180718
23,1,62,1426,1,2.7826376647894078,0.985288033412153,3.660563691113593,0.2985135546643284,3.349931634174793
24,1,62,1488,1,2.7467554648814048,0.9835460168628503,3.819718634205488,0.27415567780803773,3.64756261112416
25,1,62,1550,1,2.700068834000682,0.9868292814972837,3.9788735772973833,0.2526618726678876,3.957858736028819
26,1,62,1612,1,2.7009982824450267,0.9859545644784279,4.138028520389279,0.23360010416779547,4.280820008888771
27,1,62,1674,1,2.723663142618177,0.9891023303313621,4.297183463481174,0.21661683184832614,4.616446429704014
28,1,62,1736,1,2.7261182593818853,0.9912020885046648,4.45633840657307,0.20142049798141543,4.964737998474552
29,1,62,1798,1,2.7079637960334164,0.9927896892967923,4.615493349664965,0.18776893034177136,5.32569471520038
30,1,62,1860,1,2.6998654168673237,0.9927078360942956,4.7746482927568605,0.17545963379714413,5.699316579881501
