tick,n_peaks,peak_positions,peak_ratios,mean_ratio
201,8,"1,3,6,15,19,24,27,30","3.000,2.000,2.500,1.267,1.263,1.125,1.111",1.7522765246449457
401,8,"1,3,6,8,14,20,23,26","3.000,2.000,1.333,1.750,1.429,1.150,1.130",1.6846199349304938
601,8,"1,3,8,14,18,23,26,46","3.000,2.667,1.750,1.286,1.278,1.130,1.769",1.8399748974283139
801,8,"2,6,11,18,22,25,30,32","3.000,1.833,1.636,1.222,1.136,1.200,1.067",1.584992784992785
1001,8,"2,9,14,16,19,21,23,31","4.500,1.556,1.143,1.188,1.105,1.095,1.348",1.7048914340717214
1201,8,"2,8,11,16,21,25,27,29","4.000,1.375,1.455,1.312,1.190,1.080,1.074",1.6409422455851028
1401,8,"3,5,10,12,15,18,23,26","1.667,2.000,1.200,1.250,1.200,1.278,1.130",1.3892684610075914
1601,8,"3,6,11,14,17,20,24,28","2.000,1.833,1.273,1.214,1.176,1.200,1.167",1.4090690821783256
1801,8,"2,4,8,12,15,18,22,26","2.000,2.000,1.500,1.250,1.200,1.222,1.182",1.479148629148629
2001,8,"2,6,13,18,20,25,43,45","3.000,2.167,1.385,1.111,1.250,1.720,1.047",1.668414970042877
2201,8,"2,4,9,11,13,16,18,22","2.000,2.250,1.222,1.182,1.231,1.125,1.222",1.4617188367188365
2401,8,"2,4,6,11,13,15,18,45","2.000,1.500,1.833,1.182,1.154,1.200,2.500",1.624142524142524
2601,8,"2,4,6,8,10,12,15,23","2.000,1.500,1.333,1.250,1.200,1.250,1.533",1.438095238095238
2801,8,"2,4,6,8,10,12,14,16","2.000,1.500,1.333,1.250,1.200,1.167,1.143",1.370408163265306
3001,8,"2,4,6,8,10,12,14,16","2.000,1.500,1.333,1.250,1.200,1.167,1.143",1.370408163265306
3201,8,"2,4,6,8,10,12,14,16","2.000,1.500,1.333,1.250,1.200,1.167,1.143",1.370408163265306
3401,8,"2,4,6,8,10,12,14,16","2.000,1.500,1.333,1.250,1.200,1.167,1.143",1.370408163265306
3601,8,"2,4,6,8,10,12,14,16","2.000,1.500,1.333,1.250,1.200,1.167,1.143",1.370408163265306
3801,8,"2,4,6,8,10,12,14,16","2.000,1.500,1.333,1.250,1.200,1.167,1.143",1.370408163265306
4001,8,"2,4,6,8,10,14,16,18","2.000,1.500,1.333,1.250,1.400,1.143,1.125",1.3930272108843536
4201,8,"2,4,6,8,14,16,18,45","2.000,1.500,1.333,1.750,1.143,1.125,2.500",1.6215986394557824
4401,8,"2,4,6,8,14,16,18,23","2.000,1.500,1.333,1.750,1.143,1.125,1.278",1.4469954648526075
4601,8,"2,4,6,8,14,16,18,23","2.000,1.500,1.333,1.750,1.143,1.125,1.278",1.4469954648526075
4801,8,"2,4,6,8,14,16,18,23","2.000,1.500,1.333,1.750,1.143,1.125,1.278",1.4469954648526075
