cycle,tick,n_stable,n_positive_chirality,golden_frac,mean_amp
1,8,7,200,0.15914572864321608,0.9999999999998626
2,12,4,200,0.1585427135678392,0.9999999999991556
3,16,4,200,0.16165829145728644,0.999999999996572
4,20,4,200,0.15773869346733668,0.999999999931515
5,24,7,200,0.1607537688442211,0.9999999999875907
6,28,5,200,0.16246231155778895,0.9999999999996748
7,32,4,200,0.16110552763819094,0.9999999999998576
8,36,5,200,0.15603015075376883,0.9999999999998495
9,40,7,200,0.15738693467336684,0.9999999999640656
10,44,6,200,0.16005025125628142,0.9999999999993457
11,48,7,200,0.15949748743718592,0.9999999999996672
12,52,3,200,0.1578894472361809,0.9999999999979992
13,56,11,200,0.15889447236180904,0.9999999999965823
14,60,2,200,0.15688442211055276,0.9999999999964806
15,64,10,200,0.15819095477386935,0.9999999999996914
16,68,7,200,0.15989949748743718,0.9999999999990971
17,72,11,200,0.16321608040201005,0.9999999999963394
18,76,4,200,0.1615075376884422,0.9999999999999336
19,80,6,200,0.1607537688442211,0.9999999999991906
20,84,10,200,0.1578391959798995,0.9999999999945548
