test,metric,value
spin,cycle_1_flip_frac,1.0
spin,cycle_2_flip_frac,1.0
spin,cycle_3_flip_frac,1.0
spin,cycle_4_flip_frac,1.0
superposition,cycle_1,2.006056926238049
superposition,cycle_2,0.01564294396660415
superposition,cycle_3,2.328766591011579
superposition,cycle_4,0.5981587920630957
entanglement,i,63
entanglement,j,81
entanglement,klein_d,0.004052474783261036
entanglement,euclid_d,1.0068306142085153
entanglement,diff_before,0.782959015141337
entanglement,diff_after,0.036783037129357155
entanglement,correlation,-0.7461759780119799
uncertainty,delta_phase,1.754347173611531
uncertainty,delta_amp,1.719939216068149e-10
uncertainty,product,3.017370502492789e-10
uncertainty,plonk_bound,0.031415926535897934
