cycle,tick,n_stable,stable_fraction,golden_frac
1,4,7,0.035,0.16417085427135678
2,8,7,0.035,0.15914572864321608
3,12,4,0.02,0.1585427135678392
4,16,4,0.02,0.16165829145728644
5,20,4,0.02,0.15773869346733668
6,24,7,0.035,0.1607537688442211
7,28,5,0.025,0.16246231155778895
8,32,4,0.02,0.16110552763819094
9,36,5,0.025,0.15603015075376883
10,40,7,0.035,0.15738693467336684
11,44,6,0.03,0.16005025125628142
12,48,7,0.035,0.15949748743718592
13,52,3,0.015,0.1578894472361809
14,56,11,0.055,0.15889447236180904
15,60,2,0.01,0.15688442211055276
16,64,10,0.05,0.15819095477386935
17,68,7,0.035,0.15989949748743718
18,72,11,0.055,0.16321608040201005
19,76,4,0.02,0.1615075376884422
20,80,6,0.03,0.1607537688442211
21,84,10,0.05,0.1578391959798995
22,88,5,0.025,0.15623115577889446
23,92,9,0.045,0.16326633165829146
24,96,3,0.015,0.16080402010050251
25,100,3,0.015,0.15723618090452263
26,104,7,0.035,0.15889447236180904
27,108,3,0.015,0.16005025125628142
28,112,5,0.025,0.1615075376884422
29,116,6,0.03,0.15849246231155778
30,120,2,0.01,0.16005025125628142
31,124,4,0.02,0.15964824120603016
32,128,1,0.005,0.15834170854271357
33,132,9,0.045,0.15658291457286433
34,136,6,0.03,0.1636180904522613
35,140,4,0.02,0.15909547738693466
36,144,3,0.015,0.15949748743718592
37,148,10,0.05,0.15814070351758794
38,152,12,0.06,0.15839195979899498
39,156,5,0.025,0.15809045226130652
40,160,4,0.02,0.15804020100502514
41,164,5,0.025,0.157286432160804
42,168,7,0.035,0.1598492462311558
43,172,4,0.02,0.16045226130653267
44,176,6,0.03,0.157035175879397
45,180,5,0.025,0.1564321608040201
46,184,9,0.045,0.1614572864321608
47,188,8,0.04,0.1607035175879397
48,192,5,0.025,0.1585427135678392
49,196,5,0.025,0.16266331658291458
50,200,10,0.05,0.15773869346733668
51,204,3,0.015,0.15592964824120603
52,208,6,0.03,0.16020100502512563
53,212,3,0.015,0.15954773869346733
54,216,12,0.06,0.16110552763819094
55,220,10,0.05,0.16030150753768843
56,224,7,0.035,0.15909547738693466
57,228,4,0.02,0.16175879396984924
58,232,4,0.02,0.1657286432160804
59,236,2,0.01,0.1622110552763819
60,240,5,0.025,0.15733668341708543
61,244,8,0.04,0.155678391959799
62,248,6,0.03,0.15899497487437186
63,252,3,0.015,0.1549748743718593
64,256,9,0.045,0.15512562814070352
65,260,5,0.025,0.15658291457286433
66,264,3,0.015,0.15477386934673368
67,268,7,0.035,0.16100502512562814
68,272,3,0.015,0.16085427135678393
69,276,9,0.045,0.15467336683417085
70,280,2,0.01,0.16025125628140705
71,284,7,0.035,0.162964824120603
72,288,7,0.035,0.16160804020100503
73,292,7,0.035,0.1535678391959799
74,296,4,0.02,0.1571356783919598
75,300,5,0.025,0.16015075376884422
76,304,8,0.04,0.15874371859296482
77,308,2,0.01,0.1592964824120603
78,312,6,0.03,0.16050251256281406
79,316,7,0.035,0.15849246231155778
80,320,7,0.035,0.16447236180904523
