omega_0,gain,sigma,TOL,N,stable_mean,stable_std,golden_mean,golden_std,amp_mean,amp_std,sweep_param,sweep_value,sweep_label
0.05,0.8,0.15,0.25,200,6.6,2.416609194718914,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,omega_0,0.05,omega_0
0.1,0.8,0.15,0.25,200,5.6,2.5377155080899043,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,omega_0,0.1,omega_0
0.2,0.8,0.15,0.25,200,6.8,4.445222154178573,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,omega_0,0.2,omega_0
0.3,0.8,0.15,0.25,200,5.3,2.5317977802344322,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,omega_0,0.3,omega_0
0.5,0.8,0.15,0.25,200,5.2,1.5362291495737217,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,omega_0,0.5,omega_0
0.8,0.8,0.15,0.25,200,8.0,3.03315017762062,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,omega_0,0.8,omega_0
1.2,0.8,0.15,0.25,200,6.9,3.3896902513356584,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,omega_0,1.2,omega_0
0.3,0.2,0.15,0.25,200,5.2,1.5362291495737217,0.15700502512562814,0.0036466073282489892,0.5786922770516326,0.041608505338129397,gain,0.2,gain
0.3,0.4,0.15,0.25,200,5.8,1.98997487421324,0.15774874371859296,0.00452773579223186,0.8161398270778907,0.016701283057686325,gain,0.4,gain
0.3,0.6,0.15,0.25,200,6.1,1.57797338380595,0.15887437185929648,0.0024986751874708584,0.887274955794876,0.014313704104135879,gain,0.6,gain
0.3,0.8,0.15,0.25,200,5.3,2.5317977802344322,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,gain,0.8,gain
0.3,1.0,0.15,0.25,200,4.8,2.181742422927143,0.16013065326633164,0.0025671654850851406,0.9315237151169325,0.007310794980981043,gain,1.0,gain
0.3,1.3,0.15,0.25,200,5.8,1.8330302779823362,0.16090954773869345,0.0027875137802210645,0.9551635926212289,0.012056867129120585,gain,1.3,gain
0.3,1.6,0.15,0.25,200,6.8,2.5612496949731396,0.15895979899497487,0.0013909798266544475,0.9604794358801783,0.009700577258785035,gain,1.6,gain
0.3,0.8,0.05,0.25,200,7.8,2.8213471959331766,0.15833668341708546,0.00470151194192218,0.3451098902946774,0.03900814850286084,sigma,0.05,sigma
0.3,0.8,0.08,0.25,200,6.4,2.4166091947189146,0.1597889447236181,0.0018715877851045598,0.739950536127681,0.02311598287823785,sigma,0.08,sigma
0.3,0.8,0.12,0.25,200,7.9,2.3430749027719964,0.1592462311557789,0.0039878733379143955,0.8764688303780821,0.016266761128741147,sigma,0.12,sigma
0.3,0.8,0.15,0.25,200,5.3,2.5317977802344322,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,sigma,0.15,sigma
0.3,0.8,0.2,0.25,200,6.0,2.3664319132398464,0.16125628140703516,0.002681459018730206,0.9501616642115156,0.015443610915338194,sigma,0.2,sigma
0.3,0.8,0.28,0.25,200,6.8,2.521904042583698,0.15774371859296482,0.0030342314414679916,0.962095176764415,0.011847276350397092,sigma,0.28,sigma
0.3,0.8,0.4,0.25,200,8.2,1.7776388834631176,0.1590402010050251,0.0024269275897356377,0.9781736473728115,0.0052337320949375895,sigma,0.4,sigma
0.3,0.8,0.15,0.08,200,6.6,1.2806248474865698,0.05077386934673367,0.001444791346457024,0.8322475993118716,0.02184774757499228,TOL,0.08,TOL
0.3,0.8,0.15,0.12,200,7.1,2.3,0.0759145728643216,0.001968162799781635,0.8654177499250544,0.012352216064064645,TOL,0.12,TOL
0.3,0.8,0.15,0.18,200,6.0,2.0976176963403033,0.11314572864321608,0.0023914741283047247,0.9028759129512555,0.009448501710681859,TOL,0.18,TOL
0.3,0.8,0.15,0.25,200,5.3,2.5317977802344322,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,TOL,0.25,TOL
0.3,0.8,0.15,0.35,200,7.5,1.746424919657298,0.22433165829145726,0.002414864366760745,0.9370157018911174,0.012207061699073795,TOL,0.35,TOL
0.3,0.8,0.15,0.5,200,5.0,1.7320508075688772,0.31723115577889444,0.004068642236700262,0.9558171622967965,0.006558470325159138,TOL,0.5,TOL
0.3,0.8,0.15,0.25,80,2.3,1.268857754044952,0.1610126582278481,0.005149192210415587,0.7771700965319701,0.04311253579598948,N,80,N
0.3,0.8,0.15,0.25,120,3.5,1.4317821063276353,0.15824929971988794,0.0040526559918931705,0.8688522979761617,0.026083532869468806,N,120,N
0.3,0.8,0.15,0.25,160,4.9,3.448187929913334,0.15956761006289308,0.002986190163366079,0.9005060501679172,0.012422964534816576,N,160,N
0.3,0.8,0.15,0.25,200,5.3,2.5317977802344322,0.15995979899497487,0.002613915594174061,0.9150771215637409,0.013418712277440516,N,200,N
0.3,0.8,0.15,0.25,280,10.3,2.9,0.15934203789042498,0.0016086489623253796,0.9425836437055981,0.007965198511417812,N,280,N
