step,f,d_eff,phi
0,1.0,2.0118197358346426,1.618033988749895
1,1.0393785747084747,2.0118005400626866,1.618033988749895
2,1.080305826395611,2.01178058936117,1.618033988749895
3,1.1228425010719936,2.011759854118391,1.618033988749895
4,1.1670517146127033,2.011738303567419,1.618033988749895
5,1.2129990441785243,2.0117159057415237,1.618033988749895
6,1.2607526230806458,2.0116926274279363,1.618033988749895
7,1.3103832392118155,2.011668434119866,1.618033988749895
8,1.3619644371707404,2.011643289966718,1.618033988749895
9,1.4155726242104343,2.0116171577224455,1.618033988749895
10,1.4712871801451874,2.011589998691976,1.618033988749895
11,1.529190571354875,2.0020795177530353,1.618033988749895
12,1.5879184515471347,1.9829737458982284,1.618033988749895
13,1.6458679089550317,1.9641212160823975,1.618033988749895
14,1.7028292950716106,1.9455901326495522,1.618033988749895
15,1.7586065148329135,1.9274442906411884,1.618033988749895
16,1.8130196120991582,1.9097422346691544,1.618033988749895
17,1.8659068891854242,1.8925365693748482,1.618033988749895
18,1.917126514814152,1.875873436318667,1.618033988749895
19,1.9665575989640647,1.8597921643025104,1.618033988749895
20,2.0141007366885333,1.8439092667238182,1.618033988749895
21,2.059594293065234,1.827767390406934,1.618033988749895
22,2.1027908647770337,1.8124405227487617,1.618033988749895
23,2.143670493151612,1.7979357454207667,1.618033988749895
24,2.182235501895761,1.7842522339328315,1.618033988749895
25,2.218508237465863,1.7713820593876843,1.618033988749895
26,2.252528633256806,1.759311052747498,1.618033988749895
27,2.2843516964445114,1.7480196965442838,1.618033988749895
28,2.3140450036558766,1.7374840134581715,1.618033988749895
29,2.3416862769421525,1.7276764264026832,1.618033988749895
30,2.3673610961043545,1.7185665702300212,1.618033988749895
31,2.3911607883330537,1.7101220405222421,1.618033988749895
32,2.4131805221802556,1.7023090698819807,1.618033988749895
33,2.4335176206095666,1.6950931264905258,1.618033988749895
34,2.452270097561647,1.6884394333589259,1.618033988749895
35,2.469535414213673,1.6823134096279788,1.618033988749895
36,2.485409444840031,1.6766810374981902,1.618033988749895
37,2.4999856377271317,1.6715091599512606,1.618033988749895
38,2.513354353724973,1.6667657154430793,1.618033988749895
39,2.525602363469858,1.6624199162975286,1.618033988749895
40,2.5368124838217683,1.6584423777045996,1.618033988749895
41,2.5470633343769102,1.6548052041138201,1.618033988749895
42,2.5564291958183034,1.6514820394938419,1.618033988749895
43,2.564979953164807,1.648448087468635,1.618033988749895
44,2.5727811085155214,1.6456801067955629,1.618033988749895
45,2.57989384953869,1.64315638706437,1.618033988749895
46,2.5863751616284074,1.6408567089021033,1.618033988749895
47,2.592277973280654,1.6387622923912581,1.618033988749895
48,2.597651325775952,1.6368557368635277,1.618033988749895
49,2.602540559670032,1.6351209547297885,1.618033988749895
50,2.6069875118704693,1.6335431015540072,1.618033988749895
51,2.6110307182105204,1.6321085041766483,1.618033988749895
52,2.6147056174228385,1.63080458834138,1.618033988749895
53,2.6180447532718096,1.6296198069751342,1.618033988749895
54,2.6210779723335045,1.6285435700124646,1.618033988749895
55,2.6238326155280816,1.6275661764366398,1.618033988749895
