cycle,tick,knot_fraction,mean_abs_trace
1,8,0.595,1.7471036086770726
2,16,0.69,1.7251710912022926
3,24,0.535,1.7846912524014076
4,32,0.555,1.7666702792074573
5,40,0.68,1.7568452629067548
6,48,0.55,1.7610465540234321
7,56,0.6,1.7224351022446132
8,64,0.565,1.771398649067265
9,72,0.56,1.736578560875418
10,80,0.61,1.7168057996733939
11,88,0.56,1.7636149350318637
12,96,0.575,1.72102216978137
13,104,0.595,1.751855788991042
14,112,0.56,1.7538560800557463
15,120,0.575,1.7143275760150118
16,128,0.57,1.755723734031214
17,136,0.57,1.7413211755704208
18,144,0.59,1.7175559026908822
19,152,0.54,1.7486185306789679
20,160,0.575,1.7255632931536258
21,168,0.59,1.7355833149457647
22,176,0.565,1.7404793866070392
23,184,0.555,1.7292236035520279
24,192,0.575,1.7350155722579108
25,200,0.58,1.7238055314418432
26,208,0.57,1.7274569538808486
27,216,0.55,1.738288272321887
28,224,0.555,1.7488286560530524
29,232,0.57,1.7187558272121908
30,240,0.56,1.7568537005340188
31,248,0.56,1.7312632366768468
32,256,0.575,1.7529295214168839
33,264,0.55,1.740677943828637
34,272,0.605,1.7169394980605284
35,280,0.55,1.7404491108560762
36,288,0.56,1.7457113598588894
37,296,0.585,1.7333666598922566
38,304,0.57,1.727061561844108
39,312,0.55,1.7320560207727214
40,320,0.585,1.7161538632491147
