model,scale,E_GeV,predicted,observed,pct_err
original (no thresholds),m_tau,1.77686,0.3256069047471335,0.33,-1.3312409857171303
original (no thresholds),m_b,4.18,0.2629134705943369,0.22,19.50612299742587
original (no thresholds),M_Z,91.1876,0.12165303892417849,0.118,3.0957956984563495
original (no thresholds),m_t,173.0,0.10365622364620704,0.09,15.173581829118943
free fit,m_tau,1.77686,0.30554425415965136,0.33,-7.410832072832929
free fit,m_b,4.18,0.2265647682739424,0.22,2.9839855790647185
free fit,M_Z,91.1876,0.1113089349252959,0.118,-5.670394131105172
free fit,m_t,173.0,0.0940116880346672,0.09,4.45743114963022
principled phi^{-(nf-3)/6},m_tau,1.77686,0.3233547236537854,0.33,-2.013720104913508
principled phi^{-(nf-3)/6},m_b,4.18,0.2586783890283378,0.22,17.581085921971717
principled phi^{-(nf-3)/6},M_Z,91.1876,0.11002948160938668,0.118,-6.754676602214671
principled phi^{-(nf-3)/6},m_t,173.0,0.09239762291294026,0.09,2.6640254588225165
