k,gamma_klein,gamma_torus
0,0.002409087589655316,9.817747133387782e-17
1,0.0024090875896553387,0.009630546655606231
2,0.00963054665560633,0.009630546655606314
3,0.012039634245261537,0.009630546655606332
4,0.012039634245261555,0.009630546655606356
5,0.019261093311212552,0.019261093311212518
6,0.01926109331121258,0.01926109331121253
7,0.02164698007043817,0.01926109331121254
8,0.021646980070438176,0.01926109331121278
9,0.031277526726044336,0.03842943919353914
10,0.03127752672604439,0.03842943919353917
11,0.038429439193539194,0.03842943919353919
12,0.04083852678319444,0.03842943919353933
13,0.04083852678319451,0.04805998584914532
14,0.04805998584914543,0.04805998584914541
15,0.04805998584914545,0.048059985849145434
16,0.048059985849145476,0.04805998584914548
17,0.05993749361091209,0.048059985849145746
18,0.059937493610912156,0.07685887838707806
19,0.060076419263977214,0.07685887838707837
