n_layers,n_oscillators,coherence,entropy_norm,info_error,step
0,150,0.0,0.9132058101373691,0.0,0
1,180,1.2779709334330304e-60,0.9200365029726837,0.0,1
2,210,3.506844427670445e-22,0.9154250855880609,0.0,2
3,240,6.368908573048716e-05,0.9141892857020698,0.0,3
4,270,0.11071866692862259,0.9149834885493018,0.0,4
5,300,0.36925338311045325,0.9160388641633285,0.0,5
6,330,0.5753810002166473,0.9122989257708004,0.0,6
7,360,0.6579260937323224,0.9042251632708133,0.0,7
8,390,0.6997570436723526,0.8942598826842036,0.0,8
9,420,0.7509625751874993,0.8841247218339151,0.0,9
10,450,0.7961170147390326,0.8744560528384178,0.0,10
11,480,0.831298426362584,0.8654342142043311,0.0,11
12,510,0.8579907212899752,0.8570637298900914,0.0,12
