model,convention,m_tau,m_b,M_Z,m_t,RMS
identity,lower,-1.33%,+19.51%,+3.10%,+15.17%,12.47%
identity,upper,-1.33%,+19.51%,+3.10%,+15.17%,12.47%
principled (nf-3)/6,lower,-2.01%,+17.58%,-6.75%,+2.66%,9.56%
principled (nf-3)/6,upper,-2.01%,+15.93%,-6.75%,-2.18%,8.78%
exact b0 ratios,lower,-1.99%,+17.66%,-6.74%,+2.68%,9.60%
exact b0 ratios,upper,-1.99%,+15.95%,-6.74%,-2.83%,8.83%
b1 golden cast,lower,-1.99%,+17.66%,-6.74%,+2.68%,9.60%
b1 golden cast,upper,-1.99%,+15.95%,-6.74%,-2.83%,8.83%
differential (principled),lower,-1.69%,+17.97%,-5.23%,+4.36%,9.64%
differential (principled),upper,-1.69%,+17.96%,-5.23%,+4.35%,9.64%
scan a=0.150,upper,-1.94%,+16.31%,-5.74%,-0.38%,8.70%
M_Z anchored (principled),upper,-87.83%,-76.86%,+0.00%,-,-
self-consistent alpha^-1 (H42g),720 double cover,+0.344%,-0.008%,-,-,-
