test,chi2,H0,Om,z_c,w,dm_cryst,dm_obs,dm_c_pull,dm_lcdm,dm_l_pull,dh_cryst,dh_obs,dh_c_pull,dh_lcdm,dh_l_pull
H44a joint H(z)+BAO cryst,72.23839319049591,70.0,0.31000000000000005,4.0,1.0,,,,,,,,,,
H44a joint H(z)+BAO LCDM,76.84046781163633,74.0,0.23,nan,nan,,,,,,,,,,
H44b BAO @ Phase36 cryst best,83.13762265547851,67.0,0.34,4.0,1.0,,,,,,,,,,
"H44b BAO @ LCDM same (67, .34)",74.04774828639036,67.0,0.34,nan,nan,,,,,,,,,,
H44c BAO-only z_c=0.5,36.72901932776633,69.0,0.5,0.5,1.0,,,,,,,,,,
H44c BAO-only z_c=1.0,35.0526666279882,68.0,0.5,1.0,1.0,,,,,,,,,,
H44c BAO-only z_c=2.0,35.74919362774466,67.0,0.45999999999999996,2.0,1.0,,,,,,,,,,
H44c BAO-only z_c=3.0,36.785870941390435,69.0,0.38,3.0,1.0,,,,,,,,,,
H44c BAO-only z_c=4.0,36.996028442938375,70.0,0.33999999999999997,4.0,1.0,,,,,,,,,,
H44c BAO-only z_c=8.0,37.67286835087378,71.0,0.30000000000000004,8.0,1.0,,,,,,,,,,
H44d z=0.51,nan,nan,nan,nan,nan,13.033644179203547,13.62,-2.3454232831858093,12.676835190821883,-3.772659236712464,22.04548058050896,20.01,5.654112723636,22.03850750973955,5.634743082609855
H44d z=0.71,nan,nan,nan,nan,nan,17.191622548655207,16.85,1.0352198444097145,16.86617766757731,0.049023235082756855,19.583749945424714,20.08,-1.0788044664680099,19.876949407895026,-0.4414143306629833
H44d z=0.93,nan,nan,nan,nan,nan,21.23453712080007,21.71,-0.7794473429507064,20.99450157238647,-1.1729482419893973,17.233416626096222,17.88,-1.0263228157202808,17.69236280492454,-0.29783681758009567
H44d z=1.32,nan,nan,nan,nan,nan,27.280788432631915,26.03,1.866848406913305,27.233025552943623,1.795560526781525,13.948225673683686,13.52,0.423985815528402,14.432214150092971,0.9031823268247242
H44d z=1.49,nan,nan,nan,nan,nan,29.553732411305603,27.85,1.2257067707234546,29.584113903635014,1.2475639594496497,12.819447678480751,12.51,0.11091314640887139,13.250244443036856,0.26532058890209886
