event,f_rd_Hz,f_tc_Hz,snr,sigma_eps,detection_sigma,required_snr_3sigma
GW150914,251,77.5632655881118,24.0,0.06604947602131443,0.04220079887803431,1706.1288391266994
GW151226,447,138.1305964856015,13.0,0.12193752531180412,0.0228587602253497,1706.129274533014
GW170104,290,89.61492836873475,13.0,0.1219374968786969,0.022858765555503237,1706.1288767017766
GW170608,505,156.05358215934845,14.9,0.1063884639137794,0.026199651268900635,1706.1295794062553
GW170814,270,83.4345884812358,16.0,0.09907421497589544,0.028133865650645778,1706.1288553817424
GW170817,2000,618.0339887498948,32.4,0.04893154127231422,0.05696408862461349,1706.3381921290154
GW190521,105,32.44678440936948,14.4,0.11008245704081178,0.025320480015645602,1706.1287927127207
GW190814,370,114.33628791873055,24.7,0.06417763524630613,0.043431650961858574,1706.1290178693457
GW200105,850,262.6644452187053,13.6,0.116558331902023,0.023913697185697823,1706.1351778093704
GW200115,990,305.92682443119793,11.3,0.14028304035808303,0.01986940578462046,1706.1406046797667
