model,template,theta_arcmin,gamma_t,noise
A,constant G (GR),5.327411912812428,0.0,0.00019762053847238644
A,constant G (GR),15.16263390569691,9.681922598566751e-05,0.0001171393722832149
A,constant G (GR),24.997855898581392,1.16786126363647e-05,9.123024411691155e-05
A,constant G (GR),34.83307789146588,-3.906799295695304e-05,7.728483634387854e-05
A,constant G (GR),44.66829988435036,-9.641498977958085e-05,6.824809060336162e-05
A,constant G (GR),54.503521877234846,-0.00018010848149880844,6.178427202955347e-05
A,constant G (GR),64.33874387011932,-0.00035514946327008345,5.686616335437575e-05
A,constant G (GR),74.1739658630038,-0.0004556792482941151,5.296201098335103e-05
A,constant G (GR),84.00918785588829,-0.00035522921721269497,4.9765322628214524e-05
A,constant G (GR),93.84440984877277,-0.00028467244814865276,4.708537279892313e-05
A,constant G (GR),103.67963184165725,-0.00023322513792378415,4.4796439190942135e-05
A,constant G (GR),113.51485383454174,-0.00019456148070955568,4.281183765998533e-05
A,constant G (GR),123.35007582742621,-0.00016477199869056078,4.1069603181025136e-05
A,constant G (GR),133.1852978203107,-0.00014133498559397396,3.952410769447729e-05
A,D = 2 (Phase 1.3),5.327411912812428,0.0,0.00019762053847238644
A,D = 2 (Phase 1.3),15.16263390569691,0.00011019931394044109,0.0001171393722832149
A,D = 2 (Phase 1.3),24.997855898581392,1.3292557208565998e-05,9.123024411691155e-05
A,D = 2 (Phase 1.3),34.83307789146588,-4.446705679637952e-05,7.728483634387854e-05
A,D = 2 (Phase 1.3),44.66829988435036,-0.00010973921366462145,6.824809060336162e-05
A,D = 2 (Phase 1.3),54.503521877234846,-0.00020499886147573056,6.178427202955347e-05
A,D = 2 (Phase 1.3),64.33874387011932,-0.0004042299119853806,5.686616335437575e-05
A,D = 2 (Phase 1.3),74.1739658630038,-0.0005186525716115616,5.296201098335103e-05
A,D = 2 (Phase 1.3),84.00918785588829,-0.00040432068765178746,4.9765322628214524e-05
A,D = 2 (Phase 1.3),93.84440984877277,-0.00032401321291673237,4.708537279892313e-05
A,D = 2 (Phase 1.3),103.67963184165725,-0.0002654560592817629,4.4796439190942135e-05
A,D = 2 (Phase 1.3),113.51485383454174,-0.00022144921605346556,4.281183765998533e-05
A,D = 2 (Phase 1.3),123.35007582742621,-0.00018754292887017095,4.1069603181025136e-05
A,D = 2 (Phase 1.3),133.1852978203107,-0.00016086700022311347,3.952410769447729e-05
A,D = phi (IST),5.327411912812428,0.0,0.00019762053847238644
A,D = phi (IST),15.16263390569691,0.00011207214952586343,0.0001171393722832149
A,D = phi (IST),24.997855898581392,1.3518464006633045e-05,9.123024411691155e-05
A,D = phi (IST),34.83307789146588,-4.522277371846748e-05,7.728483634387854e-05
A,D = phi (IST),44.66829988435036,-0.00011160422985318364,6.824809060336162e-05
A,D = phi (IST),54.503521877234846,-0.0002084828138617708,6.178427202955347e-05
A,D = phi (IST),64.33874387011932,-0.00041109979290194874,5.686616335437575e-05
A,D = phi (IST),74.1739658630038,-0.0005274670638062216,5.296201098335103e-05
A,D = phi (IST),84.00918785588829,-0.00041119211129936057,4.9765322628214524e-05
A,D = phi (IST),93.84440984877277,-0.0003295198123101318,4.708537279892313e-05
A,D = phi (IST),103.67963184165725,-0.00026996748078169665,4.4796439190942135e-05
A,D = phi (IST),113.51485383454174,-0.00022521274195357193,4.281183765998533e-05
A,D = phi (IST),123.35007582742621,-0.00019073021795957683,4.1069603181025136e-05
A,D = phi (IST),133.1852978203107,-0.00016360093232999404,3.952410769447729e-05
A,D = 1/0.600 (Phase 4),5.327411912812428,0.0,0.00019762053847238644
A,D = 1/0.600 (Phase 4),15.16263390569691,0.00011180851743753262,0.0001171393722832149
A,D = 1/0.600 (Phase 4),24.997855898581392,1.3486663948258405e-05,9.123024411691155e-05
A,D = 1/0.600 (Phase 4),34.83307789146588,-4.511639426267968e-05,7.728483634387854e-05
A,D = 1/0.600 (Phase 4),44.66829988435036,-0.00011134169847221858,6.824809060336162e-05
A,D = 1/0.600 (Phase 4),54.503521877234846,-0.00020799239086344344,6.178427202955347e-05
A,D = 1/0.600 (Phase 4),64.33874387011932,-0.0004101327453582581,5.686616335437575e-05
A,D = 1/0.600 (Phase 4),74.1739658630038,-0.0005262262805773349,5.296201098335103e-05
A,D = 1/0.600 (Phase 4),84.00918785588829,-0.0004102248465911735,4.9765322628214524e-05
A,D = 1/0.600 (Phase 4),93.84440984877277,-0.0003287446688277123,4.708537279892313e-05
A,D = 1/0.600 (Phase 4),103.67963184165725,-0.00026933242478392196,4.4796439190942135e-05
A,D = 1/0.600 (Phase 4),113.51485383454174,-0.0002246829644331877,4.281183765998533e-05
A,D = 1/0.600 (Phase 4),123.35007582742621,-0.00019028155514833235,4.1069603181025136e-05
A,D = 1/0.600 (Phase 4),133.1852978203107,-0.00016321608689225147,3.952410769447729e-05
B,constant G (GR),5.327411912812428,0.0,0.00019762053847238644
B,constant G (GR),15.16263390569691,9.681922598566751e-05,0.0001171393722832149
B,constant G (GR),24.997855898581392,1.16786126363647e-05,9.123024411691155e-05
B,constant G (GR),34.83307789146588,-3.906799295695304e-05,7.728483634387854e-05
B,constant G (GR),44.66829988435036,-9.641498977958085e-05,6.824809060336162e-05
B,constant G (GR),54.503521877234846,-0.00018010848149880844,6.178427202955347e-05
B,constant G (GR),64.33874387011932,-0.00035514946327008345,5.686616335437575e-05
B,constant G (GR),74.1739658630038,-0.0004556792482941151,5.296201098335103e-05
B,constant G (GR),84.00918785588829,-0.00035522921721269497,4.9765322628214524e-05
B,constant G (GR),93.84440984877277,-0.00028467244814865276,4.708537279892313e-05
B,constant G (GR),103.67963184165725,-0.00023322513792378415,4.4796439190942135e-05
B,constant G (GR),113.51485383454174,-0.00019456148070955568,4.281183765998533e-05
B,constant G (GR),123.35007582742621,-0.00016477199869056078,4.1069603181025136e-05
B,constant G (GR),133.1852978203107,-0.00014133498559397396,3.952410769447729e-05
B,D = 2 (Phase 1.3),5.327411912812428,0.0,0.00019762053847238644
B,D = 2 (Phase 1.3),15.16263390569691,4.3298874166573375e-05,0.0001171393722832149
B,D = 2 (Phase 1.3),24.997855898581392,5.222834347559993e-06,9.123024411691155e-05
B,D = 2 (Phase 1.3),34.83307789146588,-1.7471737599245973e-05,7.728483634387854e-05
B,D = 2 (Phase 1.3),44.66829988435036,-4.3118094239418e-05,6.824809060336162e-05
B,D = 2 (Phase 1.3),54.503521877234846,-8.054696159111972e-05,6.178427202955347e-05
B,D = 2 (Phase 1.3),64.33874387011932,-0.00015882766840889418,5.686616335437575e-05
B,D = 2 (Phase 1.3),74.1739658630038,-0.00020378595502432926,5.296201098335103e-05
B,D = 2 (Phase 1.3),84.00918785588829,-0.00015886333545632483,4.9765322628214524e-05
B,D = 2 (Phase 1.3),93.84440984877277,-0.00012730938907633434,4.708537279892313e-05
