quantity,value
epsilon0_alpha_phi2,0.00278734
Delta0_ln_phi,0.481212
Delta1_phi,1.61803
lcdm_chi2,22.8838
lcdm_H0,70.3547
lcdm_Om,0.254691
h59a_chi2_eps_fixed,22.7346
h59a_dchi2_vs_lcdm,0.149165
h59b_chi2_Delta_golden,20.6887
h59b_dchi2_vs_lcdm,2.19504
h59b_eps_best,0.106363
h59b_eps_err,0.0432786
h59c_best_Delta,0.725126
h59c_best_dchi2,3.05738
h59c_p_local,0.216819
h59c_trials,4
h59c_p_global,0.623775
cycles_golden,2.51852
cycles_best,1.67135
3lnphi,1.44364
pi_over_2,1.5708
f_eps0_detection,8.93626
f_0136_detection,2.10986
f_0136_bestDelta_detection,1.75608
