Delta,dchi2_vs_lcdm
0.300000,2.383462
0.323618,2.473107
0.347236,2.521808
0.370854,2.487528
0.394472,2.386877
0.418090,2.267755
0.441709,2.186693
0.465327,2.170750
0.488945,2.215241
0.512563,2.301913
0.536181,2.411728
0.559799,2.529922
0.583417,2.646744
0.607035,2.756109
0.630653,2.853718
0.654271,2.935773
0.677889,2.998715
0.701508,3.039714
0.725126,3.057380
0.748744,3.052158
0.772362,3.026235
0.795980,2.983046
0.819598,2.926610
0.843216,2.860941
0.866834,2.789635
0.890452,2.715661
0.914070,2.641314
0.937688,2.568264
0.961307,2.497650
0.984925,2.430198
1.008543,2.366318
1.032161,2.306193
1.055779,2.249848
1.079397,2.197201
1.103015,2.148105
1.126633,2.102372
1.150251,2.059796
1.173869,2.020161
1.197487,1.264702
1.221106,1.284759
1.244724,1.301499
1.268342,1.315403
1.291960,1.326884
1.315578,1.336300
1.339196,1.343955
1.362814,1.350113
1.386432,1.354997
1.410050,1.358800
1.433668,1.361683
1.457286,1.363786
1.480905,1.365228
1.504523,1.366112
1.528141,1.366522
1.551759,1.366534
1.575377,1.366210
1.598995,1.365605
1.622613,1.364765
1.646231,1.363729
1.669849,1.362532
1.693467,1.361201
1.717085,1.359763
1.740704,1.358238
1.764322,1.356645
1.787940,1.354999
1.811558,1.353313
1.835176,1.351599
1.858794,1.349866
1.882412,1.348123
1.906030,1.346376
1.929648,1.344632
1.953266,1.342896
1.976884,1.341172
2.000503,1.339463
2.024121,1.337773
2.047739,1.336103
2.071357,1.334456
2.094975,1.332834
2.118593,1.331238
2.142211,1.329668
2.165829,1.328126
2.189447,1.326612
2.213065,1.325127
2.236683,1.323671
2.260302,1.322243
2.283920,1.320844
2.307538,1.319474
2.331156,1.318133
2.354774,1.316820
2.378392,1.315535
2.402010,1.314278
2.425628,1.313048
2.449246,1.311845
2.472864,1.310668
2.496482,1.309517
2.520101,1.308391
2.543719,1.307290
2.567337,1.306214
2.590955,1.305162
2.614573,1.304133
2.638191,1.303126
2.661809,1.302022
2.685427,1.300255
2.709045,1.297798
2.732663,1.294696
2.756281,1.290997
2.779899,1.286744
2.803518,1.282019
2.827136,1.277258
2.850754,1.272566
2.874372,1.267944
2.897990,1.263389
2.921608,1.258902
2.945226,1.254480
2.968844,1.250125
2.992462,1.245833
3.016080,1.241604
3.039698,1.237438
3.063317,1.233332
3.086935,1.229286
3.110553,1.225299
3.134171,1.221368
3.157789,1.217494
3.181407,1.213674
3.205025,1.209908
3.228643,1.206194
3.252261,1.202531
3.275879,1.198917
3.299497,1.195351
3.323116,1.191832
3.346734,1.188358
3.370352,1.184928
3.393970,1.181542
3.417588,1.178196
3.441206,1.174891
3.464824,1.171624
3.488442,1.168395
3.512060,1.165201
3.535678,1.162042
3.559296,1.158917
3.582915,1.155823
3.606533,1.152760
3.630151,1.149727
3.653769,1.146721
3.677387,1.143742
3.701005,1.140788
3.724623,1.137858
3.748241,1.134951
3.771859,1.132065
3.795477,1.129199
3.819095,1.126353
3.842714,1.123524
3.866332,1.120712
3.889950,1.117915
3.913568,1.115133
3.937186,1.112363
3.960804,1.109606
3.984422,1.106861
4.008040,1.104125
4.031658,1.101399
4.055276,1.098681
4.078894,1.095971
4.102513,1.093268
4.126131,1.090571
4.149749,1.087880
4.173367,1.085194
4.196985,1.082512
4.220603,1.079834
4.244221,1.077159
4.267839,1.074488
4.291457,1.071820
4.315075,1.069154
4.338693,1.066490
4.362312,1.063828
4.385930,1.061168
4.409548,1.058510
4.433166,1.055854
4.456784,1.053199
4.480402,1.050546
4.504020,1.047895
4.527638,1.045245
4.551256,1.042596
4.574874,1.039950
4.598492,1.037305
4.622111,1.034662
4.645729,1.032021
4.669347,1.029382
4.692965,1.026746
4.716583,1.024112
4.740201,1.021480
4.763819,1.018851
4.787437,1.016225
4.811055,1.013602
4.834673,1.010982
4.858291,1.008366
4.881910,1.005753
4.905528,1.003144
4.929146,1.000539
4.952764,0.997938
4.976382,0.995341
5.000000,0.992749
