beta,chi2,dchi2_vs_lcdm
0.100000,948.505558,-0.000001
0.121153,948.505558,-0.000001
0.146780,948.505558,-0.000001
0.177828,948.505558,-0.000001
0.215443,948.505558,-0.000001
0.261016,948.505558,-0.000001
0.316228,948.505558,-0.000001
0.383119,948.505558,-0.000001
0.464159,948.505558,-0.000001
0.562341,948.505558,-0.000001
0.681292,948.505558,-0.000001
0.825404,948.505558,-0.000001
1.000000,948.505558,-0.000001
1.211528,948.505558,-0.000001
1.467799,948.505558,-0.000001
1.778279,948.505558,-0.000001
2.154435,948.505558,-0.000001
2.610157,948.505558,-0.000001
3.162278,948.505558,-0.000001
3.831187,948.505559,-0.000002
4.641589,948.505559,-0.000002
5.623413,948.505562,-0.000005
6.812921,948.505577,-0.000019
8.254042,948.505663,-0.000106
10.000000,948.506430,-0.000873
