Delta,dchi2_vs_lcdm
0.300000,0.000000
0.420513,0.000000
0.541026,0.000000
0.661538,0.000000
0.782051,0.000000
0.902564,0.000000
1.023077,0.000000
1.143590,0.000000
1.264103,0.414297
1.384615,0.123697
1.505128,3.738234
1.625641,5.764869
1.746154,7.639987
1.866667,0.056261
1.987179,0.007598
2.107692,0.000000
2.228205,0.015410
2.348718,0.000000
2.469231,0.508681
2.589744,0.703594
2.710256,0.027289
2.830769,0.007867
2.951282,0.002989
3.071795,0.000000
3.192308,0.020817
3.312821,0.000000
3.433333,0.000000
3.553846,0.165152
3.674359,0.006706
3.794872,0.019874
3.915385,0.004749
4.035897,0.000000
4.156410,8.816914
4.276923,7.557300
4.397436,8.619024
4.517949,0.164581
4.638462,6.112440
4.758974,0.000000
4.879487,1.079312
5.000000,11.677380
