Delta,dchi2_vs_lcdm
0.300000,39.149566
0.420513,39.138375
0.541026,39.149451
0.661538,39.149476
0.782051,39.051343
0.902564,39.149455
1.023077,39.149176
1.143590,39.145897
1.264103,39.149610
1.384615,39.149726
1.505128,39.147142
1.625641,39.149721
1.746154,39.139408
1.866667,39.079218
1.987179,37.307737
2.107692,37.492018
2.228205,37.435001
2.348718,39.101948
2.469231,37.472565
2.589744,39.149726
2.710256,15.812344
2.830769,5.727290
2.951282,22.278133
3.071795,21.672388
3.192308,22.278133
3.312821,21.714270
3.433333,22.278133
3.553846,21.673730
3.674359,22.278133
3.794872,21.673731
3.915385,1.091164
4.035897,10.737069
4.156410,22.278133
4.276923,22.278133
4.397436,22.278133
4.517949,21.673731
4.638462,21.673732
4.758974,22.278133
4.879487,20.145644
5.000000,21.673732
