k,F_k,F_{k+1},ratio,error_vs_psi
1,1,1,-1.0,0.3819660112501052
2,1,2,-0.5,0.11803398874989479
3,2,3,-0.6666666666666666,0.04863267791677184
4,3,5,-0.6,0.018033988749894814
5,5,8,-0.625,0.0069660112501052085
6,8,13,-0.6153846153846154,0.0026493733652793727
7,13,21,-0.6190476190476191,0.0010136302977242773
8,21,34,-0.6176470588235294,0.0003869299263653536
9,34,55,-0.6181818181818182,0.00014782943192337417
10,55,89,-0.6179775280898876,5.646066000719596e-05
11,89,144,-0.6180555555555556,2.1566805660788724e-05
12,144,233,-0.6180257510729614,8.237676933364746e-06
13,233,377,-0.6180371352785146,3.146528619768496e-06
14,377,610,-0.6180327868852459,1.2018646489142526e-06
15,610,987,-0.6180344478216818,4.590717870289751e-07
16,987,1597,-0.6180338134001252,1.7534976959332482e-07
17,1597,2584,-0.6180340557275542,6.697765941865441e-08
18,2584,4181,-0.6180339631667066,2.558318823453476e-08
19,4181,6765,-0.6180339985218034,9.77190861561894e-09
20,6765,10946,-0.618033985017358,3.732536835165945e-09
