N,D_eff,crossing_3,contribution_at_N,D_eff_infinity
1,2.0,False,2.0,3.23606797749979
2,2.76393202250021,False,0.7639320225002102,3.23606797749979
3,3.055728090000841,True,0.2917960675006308,3.23606797749979
4,3.1671842700025237,True,0.11145618000168238,3.23606797749979
5,3.2097567425069395,True,0.04257247250441635,3.23606797749979
6,3.2260179800185065,True,0.016261237511566686,3.23606797749979
7,3.23222922004879,True,0.006211240030283712,3.23606797749979
8,3.2346017026280744,True,0.0023724825792844515,3.23606797749979
9,3.2355079103356443,True,0.0009062077075696431,3.23606797749979
10,3.2358540508790687,True,0.00034614054342447826,3.23606797749979
