i,j,weight
0,2,0.05138516027218446
0,27,0.05679426063378347
0,28,0.05238389691087611
0,29,0.06184225136994821
0,30,0.0639319487889057
0,31,0.05675281690351249
0,32,0.06550609035276844
0,33,0.056897645728926916
0,34,0.0512269599758695
0,35,0.05599713837805625
0,36,0.06323255376335137
0,37,0.052979794734379484
0,38,0.05894967989130054
0,39,0.05532181467565731
0,60,0.048376978938124676
0,62,0.05086386711930718
1,2,0.056011241811486645
1,22,0.04000266176504811
1,23,0.04955553285545938
1,24,0.04801619053914619
1,25,0.0460805614019065
1,26,0.05229640060797483
1,27,0.06270568930124279
1,28,0.057850787197584845
1,29,0.06828184358306516
1,30,0.07057971762527798
1,31,0.06267894454043578
1,32,0.07231704210500459
1,33,0.06284054600433896
1,34,0.05658322367416554
1,35,0.06183536910925331
1,36,0.06981064926212471
1,37,0.05850607487917438
1,38,0.06508480104483216
1,39,0.12217348137071359
1,40,0.04908237259810408
1,41,0.10610413640530247
1,42,0.04123524623920961
1,43,0.034519810648131824
1,62,0.055433774150549536
2,3,0.052328011134567
2,5,0.05060017900406877
2,6,0.058323687469428696
2,8,0.05281177008864296
2,18,0.029377538381414135
2,19,0.030323040280484603
2,20,0.035768713243873596
2,21,0.045495696039095895
2,22,0.045901985377956055
2,23,0.056875550319748815
2,24,0.05513650222275159
2,25,0.05291249751874436
2,26,0.12008395111799534
2,27,0.1439768397535597
2,28,0.13288206682525563
2,29,0.15681769329678755
2,30,0.1621276588365778
2,31,0.14402722027271891
2,32,0.1661564238408711
2,33,0.14439768480571402
2,34,0.1300306813418553
2,35,0.14209335745781215
2,36,0.1603376967827665
2,37,0.13438417956007687
2,38,0.14948934554389248
2,39,0.14024918357260738
2,40,0.0563584386181739
2,41,0.12176504229171016
2,42,0.047335734529713076
2,43,0.039606617175142654
2,44,0.04117522745976111
2,45,0.04272487000070188
2,62,0.06254082931907835
3,27,0.06150362556847398
3,28,0.05679739153991809
3,29,0.06708382034046516
3,30,0.06938172818331782
3,31,0.061626724944584446
3,32,0.07112031779509684
3,33,0.06178821753747924
3,34,0.05562116493921544
3,35,0.060783717546345435
3,36,0.06861264849850637
3,37,0.05745260929495465
3,38,0.06388673090945612
3,39,0.05988383885425052
3,41,0.051839882652958184
3,62,0.054298497032554675
4,27,0.05486737549841312
4,28,0.05069511699822333
4,29,0.05992134872873454
4,30,0.062010914913393236
4,31,0.0550634189993121
4,32,0.06358495741201778
4,33,0.05521016905336615
4,34,0.04968433575930752
4,35,0.05430736591304976
4,36,0.061311563845286986
4,37,0.051290851405968195
4,38,0.05702455925205286
4,39,0.053393726690892845
4,41,0.04609237876759936
4,60,0.046373914051569855
4,62,0.04928958270479811
5,27,0.05996165646124495
5,28,0.05544613016712684
5,29,0.06554702396953034
5,30,0.0678449750848055
5,31,0.0602769691954638
5,32,0.06958518435019358
5,33,0.060438322408978104
5,34,0.054387069704685556
5,35,0.059434689007166794
5,36,0.06707588090572474
5,37,0.056101258400446295
5,38,0.062349874505219435
5,39,0.05834079679262548
5,41,0.05028495534323962
5,62,0.05345674596243531
6,19,0.02670387627048523
6,20,0.03182402905749953
6,21,0.04105394454502108
6,22,0.042078493447322576
6,23,0.052533124046461245
6,24,0.051353593640841605
6,25,0.04946436572635038
6,26,0.056276338791849026
6,27,0.13542558003145155
6,28,0.12536497148861345
6,29,0.14827030922804904
6,30,0.15359804364389507
6,31,0.1365213853299602
6,32,0.1576207592221489
6,33,0.13689115961187215
6,34,0.12316739323705396
6,35,0.13459112389029737
6,36,0.15181076585487652
6,37,0.12688396209114963
6,38,0.14093974686130437
6,39,0.13166245655705713
6,40,0.0525773305611854
6,41,0.11313481671511019
6,42,0.043516388377321566
6,43,0.03609587972368199
6,44,0.037290227706174996
6,62,0.060275079714351476
7,26,0.046611135936414805
7,27,0.05624437268834303
7,28,0.05218859765193431
7,29,0.06184216326962847
7,30,0.0641402183098731
7,31,0.05702305265288286
7,32,0.06588431740723329
7,33,0.057184071126692736
7,34,0.05141200340931877
7,35,0.056182518964249584
7,36,0.0633710893207122
7,37,0.05284351088592574
7,38,0.05864486962667668
7,39,0.05462093616483891
7,60,0.04943191823680405
7,62,0.053081254350909476
8,27,0.12562430637869115
8,28,0.11678264229595292
8,29,0.1384904365549747
8,30,0.14382141148859
