ensemble,N,degree,D_eff,r2
Random,64,8,39.505702837828615,0.949110663767382
Random,64,12,36.367842668476364,0.8193175725409636
Random,64,16,25.414337785665165,0.8427046875558349
Random,64,20,9.793862819208806,0.7459560941348793
Random,64,24,7.875550214279957,0.925297768566319
Fibonacci (golden),64,8,16.306951131561313,0.9868491127856803
Fibonacci (golden),64,12,19.13145848383415,0.9828116254505721
Fibonacci (golden),64,16,21.529780203980774,0.9896969035887089
Fibonacci (golden),64,20,16.40447926026612,0.9200184188527268
Fibonacci (golden),64,24,4.825848117661679,0.6851873689089185
Rational (1/5),64,8,15.580061687255577,0.989254721529225
Rational (1/5),64,12,12.317822716334973,0.8782629935552355
Rational (1/5),64,16,7.232096087303109,0.7503792192456187
Rational (1/5),64,20,5.596269580950362,0.8227019263876421
Rational (1/5),64,24,5.204147723534442,0.9540974858609127
