frequency,power
10000000000.0,0.0
10174281557.183168,0.0
10351600520.483797,0.0
10532009826.288597,0.0
10715563333.567997,0.0
10902315839.95495,0.0
11092323098.103958,0.0
11285641832.335642,0.0
11482329755.570736,0.0
11682445586.559885,0.0
11886049067.413263,0.0
12093200981.435696,0.0
12303963171.273058,0.0
12518398557.37449,0.0
12736571156.776365,0.0
12958546102.214085,0.0
13184389661.566513,0.0
13414169257.639261,0.0
13647953488.293312,0.0
13885812146.923632,0.0
14127816243.295511,0.0
14374038024.74349,0.0
14624550997.739725,0.0
14879429949.838799,0.0
15138750972.004436,0.0
15402591481.32535,0.0
15671030244.127508,0.0
15944147399.48868,0.0
16222024483.162764,0.0
16504744451.92167,0.0
16792391708.320856,0.0
17085052125.896442,0.0
17382813074.802197,0.0
17685763447.892242,0.0
17993993687.259422,0.0
18307595811.235466,0.0
18626663441.86168,0.0
18951291832.839123,0.0
19281577897.965187,0.0
19617620240.06578,0.0
19959519180.43245,0.0
20307376788.77184,0.0
20661296913.677086,0.0
21021385213.631115,0.0
21387749188.549,0.0
21760498211.871334,0.0
22139743563.216072,0.0
22525598461.599403,0.0
22918178099.236435,0.0
23317599675.93014,0.0
23723982434.059624,0.0
24137447694.179028,0.0
24558118891.236008,0.0
24986121611.421406,0.0
25421583629.66216,0.0
25864634947.766125,0.0
26315407833.23321,0.0
26774036858.741924,0.0
27240658942.32403,0.0
27715413388.24041,0.0
28198441928.568302,0.0
28689888765.513306,0.0
29189900614.459858,0.0
29698626747.770977,0.0
30216219039.351295,0.0
30742832009.988003,0.0
31278622873.48013,0.0
31823751583.573647,0.0
32378380881.71333,0.0
32942676345.6268,0.0
33516806438.756493,0.0
34100942560.551964,0.0
34695259097.63864,0.0
35299933475.87963,0.0
35915146213.343636,0.0
36541080974.1959,0.0
37177924623.52996,0.0
37825867283.15269,0.0
38485102388.34386,0.0
39155826745.60344,0.0
39838240591.40525,0.0
40532547651.97603,0.0
41238955204.11493,0.0
41957674137.07293,0.0
42688919015.51223,0.0
43432908143.56137,0.0
44189863629.98671,0.0
44960011454.50148,0.0
45743581535.227844,0.0
46540807797.33731,0.0
47351928242.88575,0.0
48177185021.865326,0.0
49016824504.49655,0.0
49871097354.778534,0.0
50740258605.320946,0.0
51624567733.48214,0.0
52524288738.832275,0.0
53439690221.96648,0.0
54371045464.69374,0.0
55318632511.62011,0.0
56282734253.15696,0.0
57263638509.97386,0.0
58261638118.92308,0.0
59277031020.4639,0.0
60310120347.608284,0.0
61361214516.416824,0.0
62430627318.073975,0.0
63518678012.565834,0.0
64625691423.990456,0.0
65751998037.53191,0.0
66897934098.12048,0.0
68063841710.816216,0.0
69250068942.93947,0.0
70456969927.98119,0.0
71684904971.32681,0.0
