# H(z) Cosmic Chronometer Data (km/s/Mpc)
# Compilation from: Moresco et al. (2022), Jiao et al. (2023), Borghi et al. (2022)
# Method: differential age of passively evolving galaxies
#z,H(z),sigma_H,reference
0.07,69.0,19.6,Zhang2014
0.09,69.0,12.0,Jimenez2003
0.12,68.6,26.2,Zhang2014
0.17,83.0,8.0,Simon2005
0.179,75.0,4.0,Moresco2012
0.199,75.0,5.0,Moresco2012
0.2,72.9,29.6,Zhang2014
0.27,77.0,14.0,Simon2005
0.28,88.8,36.6,Zhang2014
0.352,83.0,14.0,Moresco2012
0.3802,83.0,13.5,Moresco2016
0.4,95.0,17.0,Simon2005
0.4004,77.0,10.2,Moresco2016
0.4247,87.1,11.2,Moresco2016
0.4497,92.8,12.9,Moresco2016
0.47,89.0,34.0,Ratsimbazafy2017
0.4783,80.9,9.0,Moresco2016
0.48,97.0,62.0,Stern2010
0.593,104.0,13.0,Moresco2012
0.68,92.0,8.0,Moresco2012
0.75,98.8,33.6,Borghi2022
0.781,105.0,12.0,Moresco2012
0.8,113.1,28.5,Borghi2022
0.85,95.9,32.4,Borghi2022
0.875,125.0,17.0,Moresco2012
0.9,102.7,36.8,Borghi2022
0.95,99.6,39.9,Borghi2022
1.0,118.3,46.4,Borghi2022
1.037,154.0,20.0,Moresco2012
1.05,112.0,45.3,Borghi2022
1.1,129.1,50.6,Borghi2022
1.15,115.6,53.1,Borghi2022
1.2,112.3,49.7,Borghi2022
1.25,82.3,54.9,Borghi2022
1.3,131.3,37.3,Borghi2022
1.35,126.0,37.7,Borghi2022
1.363,160.0,33.6,Moresco2015
1.4,113.1,50.4,Borghi2022
1.43,177.0,18.0,Simon2005
1.45,117.4,42.1,Borghi2022
1.5,117.3,53.0,Borghi2022
1.53,140.0,14.0,Moresco2012
1.55,148.4,50.4,Borghi2022
1.6,112.5,88.6,Borghi2022
1.65,141.9,51.0,Borghi2022
1.7,133.0,52.8,Borghi2022
1.75,202.0,40.0,Simon2005
1.8,118.4,103.6,Borghi2022
1.85,93.3,89.6,Borghi2022
1.9,115.2,90.9,Borghi2022
1.95,148.7,85.3,Borghi2022
1.965,186.5,50.4,Moresco2015
2.0,126.6,114.8,Borghi2022
2.3,224.0,8.0,Busca2012_BAO
2.33,224.0,8.0,Bautista2017_BAO
2.34,222.0,7.0,Delubac2015_BAO
2.36,226.0,8.0,FontRibera2014_BAO
0.38,81.5,1.9,Alam2017_BAO
0.51,90.4,1.9,Alam2017_BAO
0.61,97.3,2.1,Alam2017_BAO
